delivery_id,is_late,risk_reason
DL000000105,0,Normal
DL000000106,0,Normal
DL000000107,0,Normal
DL000000108,0,Normal
DL000000109,0,Normal
DL000000110,0,Normal
DL000000111,0,Long delivery duration
DL000000112,0,Normal
DL000000113,0,Normal
DL000000114,0,Normal
DL000000115,0,Delayed status
DL000000116,0,Normal
DL000000117,0,Normal
DL000000118,0,Normal
DL000000119,0,Normal
DL000000120,0,Normal
DL000000121,0,Long delivery duration
DL000000122,0,Normal
DL000000123,0,Normal
DL000000124,0,Normal
DL000000125,0,Delayed status
DL000000126,0,Normal
DL000000127,0,Normal
DL000000128,0,Normal
DL000000129,0,Normal
DL000000130,0,Normal
DL000000131,0,Normal
DL000000132,1,Delayed status
DL000000133,0,Delayed status
DL000000134,0,Normal
DL000000135,0,Normal
DL000000136,1,Long delivery duration
DL000000137,0,Long delivery duration
DL000000138,0,Normal
DL000000139,0,Normal
DL000000140,0,Normal
DL000000141,0,Normal
DL000000142,0,Normal
DL000000143,0,Normal
DL000000144,0,Normal
DL000000145,0,Normal
DL000000146,0,Normal
DL000000147,0,Normal
DL000000148,1,Long delivery duration
DL000000149,0,Normal
DL000000150,0,Normal
DL000000151,0,Normal
DL000000152,0,Long delivery duration
DL000000153,0,Normal
DL000000154,0,Normal
DL000000155,0,Normal
DL000000156,0,Normal
DL000000157,0,Normal
DL000000158,0,Normal
DL000000159,0,Normal
DL000000160,0,Normal
DL000000161,0,Delayed status
DL000000162,0,Normal
DL000000163,0,Normal
DL000000164,0,Normal
DL000000165,0,Normal
DL000000166,0,Normal
DL000000167,0,Normal
DL000000168,1,Normal
DL000000169,0,Normal
DL000000170,0,Normal
DL000000171,0,Normal
DL000000172,0,Normal
DL000000173,0,Normal
DL000000174,0,Normal
DL000000175,0,Normal
DL000000176,0,Normal
DL000000177,0,Normal
DL000000178,0,Normal
DL000000179,0,Normal
DL000000180,1,Delayed status
DL000000181,0,Normal
DL000000182,1,Delayed status
DL000000183,0,Normal
DL000000184,0,Normal
DL000000185,0,Normal
DL000000186,1,Normal
DL000000187,0,Normal
DL000000188,0,Delayed status
DL000000189,0,Normal
DL000000190,0,Normal
DL000000191,0,Normal
DL000000192,0,Normal
DL000000193,0,Normal
DL000000194,0,Normal
DL000000195,0,Normal
DL000000196,0,Normal
DL000000197,0,Normal
DL000000198,0,Normal
DL000000199,0,Normal
DL000000200,0,Normal
DL000000201,0,Normal
DL000000202,0,Normal
DL000000203,0,Normal
DL000000204,No,Long delivery duration
DL000000205,0,Normal
DL000000206,1,Normal
DL000000207,0,Normal
DL000000208,0,Normal
DL000000209,0,Normal
DL000000210,0,Normal
DL000000211,0,Normal
DL000000212,0,Normal
DL000000213,0,Normal
DL000000214,0,Normal
DL000000215,0,Normal
DL000000216,0,Normal
DL000000217,0,Normal
DL000000218,0,Normal
DL000000219,0,Normal
DL000000220,0,Normal
DL000000221,1,Delayed status
DL000000222,0,Normal
DL000000223,1,Delayed status
DL000000224,0,Normal
DL000000225,0,Normal
DL000000226,0,Normal
DL000000227,0,Normal
DL000000228,0,Normal
DL000000229,0,Long delivery duration
DL000000230,0,Normal
DL000000231,0,Normal
DL000000232,0,Normal
DL000000233,0,Normal
DL000000234,0,Normal
DL000000235,0,Normal
DL000000236,0,Normal
DL000000237,0,Normal
DL000000238,0,Normal
DL000000239,0,Normal
DL000000240,0,Normal
DL000000241,0,Normal
DL000000242,0,Normal
DL000000243,0,Normal
DL000000244,1,Normal
DL000000245,0,Normal
DL000000246,0,Normal
DL000000247,0,Delayed status
DL000000248,0,Normal
DL000000249,0,Normal
DL000000250,0,Normal
DL000000251,0,Normal
DL000000252,0,Normal
DL000000253,0,Normal
DL000000254,0,Normal
DL000000255,0,Normal
DL000000256,0,Normal
DL000000257,0,Normal
DL000000258,0,Normal
DL000000259,0,Normal
DL000000260,0,Normal
DL000000261,0,Normal
DL000000262,0,Normal
DL000000263,0,Normal
DL000000264,0,Normal
DL000000265,0,Long delivery duration
DL000000266,0,Normal
DL000000267,0,Normal
DL000000268,0,Long delivery duration
DL000000269,0,Normal
DL000000270,0,Normal
DL000000271,1,Normal
DL000000272,0,Normal
DL000000273,0,Normal
DL000000274,0,Normal
DL000000275,0,Delayed status
DL000000276,0,Normal
DL000000277,0,Normal
DL000000278,0,Delayed status
DL000000279,0,Normal
DL000000280,0,Normal
DL000000281,0,Normal
DL000000282,0,Long delivery duration
DL000000283,0,Normal
DL000000284,0,Normal
DL000000285,0,Normal
DL000000286,0,Normal
DL000000287,0,Normal
DL000000288,0,Normal
DL000000289,0,Normal
DL000000290,0,Normal
DL000000291,0,Normal
DL000000292,0,Delayed status
DL000000293,0,Normal
DL000000294,1,Delayed status
DL000000295,0,Long delivery duration
DL000000296,0,Normal
DL000000297,0,Normal
DL000000298,0,Normal
DL000000299,0,Normal
DL000000300,1,Delayed status
DL000000301,0,Normal
DL000000302,0,Normal
DL000000303,Yes,Normal
DL000000304,0,Normal
DL000000305,0,Normal
DL000000306,0,Normal
DL000000307,0,Normal
DL000000308,0,Normal
DL000000309,0,Normal
DL000000310,0,Normal
DL000000311,1,Normal
DL000000312,0,Normal
DL000000313,0,Normal
DL000000314,0,Normal
DL000000315,0,Normal
DL000000316,0,Normal
DL000000317,0,Normal
DL000000318,0,Normal
DL000000319,0,Normal
DL000000320,0,Normal
DL000000321,0,Normal
DL000000322,0,Normal
DL000000323,0,Normal
DL000000324,0,Delayed status
DL000000325,0,Normal
DL000000326,0,Normal
DL000000327,0,Long delivery duration
DL000000328,0,Long delivery duration
DL000000329,0,Normal
DL000000330,0,Normal
DL000000331,0,Normal
DL000000332,0,Long delivery duration
DL000000333,0,Normal
DL000000334,0,Normal
DL000000335,0,Normal
DL000000336,0,Normal
DL000000337,0,Normal
DL000000338,0,Normal
DL000000339,0,Normal
DL000000340,0,Normal
DL000000341,0,Normal
DL000000342,0,Normal
DL000000343,0,Normal
DL000000344,0,Normal
DL000000345,0,Normal
DL000000346,0,Normal
DL000000347,0,Normal
DL000000348,0,Normal
DL000000349,0,Normal
DL000000350,0,Normal
DL000000351,0,Normal
DL000000352,1,Normal
DL000000353,1,Normal
DL000000354,0,Normal
DL000000355,0,Normal
DL000000356,0,Normal
DL000000357,0,Normal
DL000000358,0,Normal
DL000000359,0,Normal
DL000000360,0,Normal
DL000000361,0,Normal
DL000000362,0,Normal
DL000000363,0,Normal
DL000000364,0,Normal
DL000000365,0,Normal
DL000000366,1,Delayed status
DL000000367,0,Normal
DL000000368,0,Normal
DL000000369,0,Normal
DL000000370,0,Normal
DL000000371,0,Normal
DL000000372,0,Long delivery duration
DL000000373,0,Delayed status
DL000000374,1,Delayed status
DL000000375,0,Normal
DL000000376,1,Delayed status
DL000000377,0,Normal
DL000000378,0,Normal
DL000000379,0,Normal
DL000000380,0,Normal
DL000000381,0,Normal
DL000000382,0,Normal
DL000000383,0,Normal
DL000000384,1,Delayed status
DL000000385,1,Delayed status
DL000000386,0,Long delivery duration
DL000000387,0,Normal
DL000000388,1,Normal
DL000000389,0,Normal
DL000000390,0,Normal
DL000000391,0,Long delivery distance
DL000000392,0,Normal
DL000000393,0,Normal
DL000000394,0,Normal
DL000000395,0,Delayed status
DL000000396,0,Normal
DL000000397,0,Normal
DL000000398,0,Normal
DL000000399,1,Long delivery duration
DL000000400,0,Normal
DL000000401,0,Normal
DL000000402,1,Delayed status
DL000000403,0,Delayed status
DL000000404,0,Normal
DL000000405,0,Normal
DL000000406,0,Normal
DL000000407,1,Delayed status
DL000000408,0,Normal
DL000000409,0,Normal
DL000000410,0,Normal
DL000000411,0,Normal
DL000000412,0,Normal
DL000000413,0,Normal
DL000000414,0,Normal
DL000000415,0,Normal
DL000000416,0,Delayed status
DL000000417,0,Normal
DL000000418,0,Normal
DL000000419,No,Long delivery duration
DL000000420,0,Normal
DL000000421,0,Normal
DL000000422,1,Delayed status
DL000000423,0,Normal
DL000000424,0,Normal
DL000000425,0,Normal
DL000000426,0,Normal
DL000000427,0,Normal
DL000000428,1,Long delivery duration
DL000000429,0,Long delivery duration
DL000000430,0,Normal
DL000000431,0,Normal
DL000000432,0,Normal
DL000000433,0,Normal
DL000000434,1,Normal
DL000000435,0,Normal
DL000000436,0,Delayed status
DL000000437,0,Normal
DL000000438,0,Long delivery duration
DL000000439,0,Long delivery distance
DL000000440,0,Normal
DL000000441,0,Normal
DL000000442,0,Normal
DL000000443,0,Normal
DL000000444,0,Normal
DL000000445,0,Normal
DL000000446,1,Normal
DL000000447,0,Normal
DL000000448,0,Long delivery duration
DL000000449,0,Normal
DL000000450,0,Normal
DL000000451,0,Normal
DL000000452,0,Long delivery duration
DL000000453,0,Normal
DL000000454,0,Normal
DL000000455,0,Normal
DL000000456,0,Normal
DL000000457,0,Normal
DL000000458,0,Normal
DL000000459,0,Normal
DL000000460,0,Normal
DL000000461,0,Normal
DL000000462,0,Normal
DL000000463,0,Normal
DL000000464,0,Normal
DL000000465,0,Normal
DL000000466,0,Normal
DL000000467,0,Normal
DL000000468,0,Normal
DL000000469,0,Normal
DL000000470,0,Normal
DL000000471,0,Normal
DL000000472,1,Long delivery duration
DL000000473,1,Delayed status
DL000000474,0,Normal
DL000000475,0,Normal
DL000000476,0,Normal
DL000000477,0,Normal
DL000000478,0,Normal
DL000000479,0,Normal
DL000000480,0,Normal
DL000000481,0,Normal
DL000000482,0,Normal
DL000000483,0,Normal
DL000000484,0,Delayed status
DL000000485,0,Normal
DL000000486,0,Normal
DL000000487,0,Normal
DL000000488,0,Normal
DL000000489,0,Normal
DL000000490,0,Normal
DL000000491,0,Normal
DL000000492,0,Normal
DL000000493,0,Normal
DL000000494,0,Normal
DL000000495,0,Normal
DL000000496,0,Delayed status
DL000000497,0,Normal
DL000000498,0,Normal
DL000000499,0,Normal
DL000000500,1,Normal
DL000000501,0,Normal
DL000000502,0,Long delivery duration
DL000000503,0,Normal
DL000000504,0,Normal
DL000000505,1,Delayed status
DL000000506,1,Delayed status
DL000000507,0,Normal
DL000000508,0,Normal
DL000000509,0,Normal
DL000000510,0,Normal
DL000000511,0,Normal
DL000000512,0,Normal
DL000000513,0,Normal
DL000000514,0,Normal
DL000000515,0,Normal
DL000000516,0,Normal
DL000000517,0,Normal
DL000000518,0,Normal
DL000000519,0,Long delivery duration
DL000000520,0,Normal
DL000000521,0,Normal
DL000000522,0,Normal
DL000000523,0,Normal
DL000000524,0,Normal
DL000000525,0,Normal
DL000000526,0,Normal
DL000000527,0,Normal
DL000000528,0,Normal
DL000000529,0,Normal
DL000000530,0,Normal
DL000000531,1,Delayed status
DL000000532,0,Normal
DL000000533,0,Delayed status
DL000000534,0,Normal
DL000000535,0,Normal
DL000000536,0,Normal
DL000000537,0,Normal
DL000000538,0,Normal
DL000000539,0,Normal
DL000000540,1,Long delivery duration
DL000000541,0,Normal
DL000000542,1,Long delivery duration
DL000000543,0,Normal
DL000000544,0,Normal
DL000000545,1,Delayed status
DL000000546,0,Delayed status
DL000000547,0,Normal
DL000000548,0,Delayed status
DL000000549,0,Normal
DL000000550,0,Normal
DL000000551,0,Long delivery duration
DL000000552,0,Normal
DL000000553,0,Normal
DL000000554,0,Normal
DL000000555,0,Normal
DL000000556,1,Normal
DL000000557,0,Normal
DL000000558,0,Normal
DL000000559,0,Long delivery duration
DL000000560,0,Normal
DL000000561,0,Normal
DL000000562,0,Normal
DL000000563,0,Normal
DL000000564,0,Normal
DL000000565,0,Normal
DL000000566,0,Normal
DL000000567,0,Normal
DL000000568,0,Normal
DL000000569,0,Normal
DL000000570,0,Normal
DL000000571,0,Delayed status
DL000000572,0,Normal
DL000000573,0,Normal
DL000000574,1,Normal
DL000000575,1,Long delivery distance
DL000000576,0,Normal
DL000000577,0,Normal
DL000000578,0,Normal
DL000000579,0,Normal
DL000000580,0,Normal
DL000000581,0,Normal
DL000000582,0,Normal
DL000000583,0,Normal
DL000000584,0,Normal
DL000000585,0,Normal
DL000000586,0,Normal
DL000000587,0,Normal
DL000000588,0,Normal
DL000000589,0,Normal
DL000000590,0,Normal
DL000000591,0,Normal
DL000000592,0,Delayed status
DL000000593,0,Normal
DL000000594,0,Normal
DL000000595,0,Normal
DL000000596,1,Delayed status
DL000000597,0,Normal
DL000000598,0,Normal
DL000000599,0,Delayed status
DL000000600,0,Normal
DL000000601,0,Normal
DL000000602,0,Normal
DL000000603,0,Normal
DL000000604,0,Normal
DL000000605,0,Normal
DL000000606,0,Normal
DL000000607,0,Normal
DL000000608,0,Normal
DL000000609,0,Long delivery duration
DL000000610,0,Normal
DL000000611,0,Normal
DL000000612,0,Normal
DL000000613,0,Normal
DL000000614,0,Long delivery duration
DL000000615,0,Normal
DL000000616,0,Normal
DL000000617,0,Normal
DL000000618,0,Normal
DL000000619,0,Normal
DL000000620,1,Delayed status
DL000000621,0,Normal
DL000000622,0,Normal
DL000000623,0,Normal
DL000000624,0,Normal
DL000000625,0,Normal
DL000000626,0,Normal
DL000000627,0,Normal
DL000000628,0,Normal
DL000000629,0,Normal
DL000000630,0,Normal
DL000000631,No,Normal
DL000000632,0,Normal
DL000000633,0,Normal
DL000000634,0,Normal
DL000000635,0,Normal
DL000000636,0,Normal
DL000000637,0,Normal
DL000000638,1,Delayed status
DL000000639,0,Delayed status
DL000000640,0,Normal
DL000000641,0,Normal
DL000000642,1,Delayed status
DL000000643,0,Normal
DL000000644,0,Long delivery duration
DL000000645,0,Normal
DL000000646,0,Normal
DL000000647,1,Normal
DL000000648,0,Normal
DL000000649,0,Long delivery duration
DL000000650,0,Normal
DL000000651,0,Normal
DL000000652,0,Long delivery duration
DL000000653,0,Normal
DL000000654,0,Normal
DL000000655,0,Normal
DL000000656,0,Normal
DL000000657,0,Normal
DL000000658,1,Delayed status
DL000000659,0,Normal
DL000000660,0,Normal
DL000000661,0,Normal
DL000000662,0,Normal
DL000000663,1,Normal
DL000000664,0,Normal
DL000000665,0,Delayed status
DL000000666,0,Normal
DL000000667,0,Normal
DL000000668,0,Normal
DL000000669,0,Long delivery duration
DL000000670,1,Delayed status
DL000000671,0,Normal
DL000000672,1,Normal
DL000000673,0,Normal
DL000000674,1,Normal
DL000000675,0,Delayed status
DL000000676,0,Normal
DL000000677,0,Normal
DL000000678,0,Normal
DL000000679,0,Normal
DL000000680,0,Delayed status
DL000000681,0,Normal
DL000000682,0,Normal
DL000000683,0,Normal
DL000000684,0,Delayed status
DL000000685,0,Normal
DL000000686,0,Delayed status
DL000000687,0,Normal
DL000000688,0,Normal
DL000000689,0,Normal
DL000000690,0,Normal
DL000000691,0,Normal
DL000000692,0,Normal
DL000000693,0,Normal
DL000000694,0,Normal
DL000000695,0,Long delivery duration
DL000000696,0,Normal
DL000000697,0,Normal
DL000000698,0,Long delivery duration
DL000000699,0,Normal
DL000000700,0,Normal
DL000000701,0,Normal
DL000000702,1,Normal
DL000000703,0,Long delivery duration
DL000000704,0,Normal
DL000000705,0,Normal
DL000000706,0,Normal
DL000000707,0,Normal
DL000000708,0,Normal
DL000000709,1,Long delivery duration
DL000000710,0,Normal
DL000000711,0,Normal
DL000000712,0,Normal
DL000000713,0,Normal
DL000000714,0,Normal
DL000000715,0,Normal
DL000000716,0,Normal
DL000000717,1,Long delivery duration
DL000000718,0,Normal
DL000000719,0,Normal
DL000000720,0,Normal
DL000000721,0,Normal
DL000000722,0,Normal
DL000000723,0,Normal
DL000000724,0,Normal
DL000000725,0,Normal
DL000000726,0,Delayed status
DL000000727,0,Normal
DL000000728,0,Normal
DL000000729,0,Normal
DL000000730,0,Normal
DL000000731,0,Normal
DL000000732,0,Normal
DL000000733,0,Normal
DL000000734,0,Normal
DL000000735,0,Normal
DL000000736,0,Normal
DL000000737,0,Normal
DL000000738,0,Normal
DL000000739,0,Normal
DL000000740,0,Normal
DL000000741,0,Normal
DL000000742,0,Normal
DL000000743,0,Normal
DL000000744,0,Normal
DL000000745,1,Normal
DL000000746,0,Normal
DL000000747,1,Delayed status
DL000000748,0,Normal
DL000000749,0,Normal
DL000000750,0,Normal
DL000000751,0,Normal
DL000000752,0,Normal
DL000000753,0,Normal
DL000000754,0,Normal
DL000000755,0,Normal
DL000000756,0,Normal
DL000000757,0,Normal
DL000000758,0,Normal
DL000000759,0,Normal
DL000000760,0,Normal
DL000000761,0,Normal
DL000000762,0,Normal
DL000000763,0,Long delivery distance
DL000000764,0,Normal
DL000000765,0,Normal
DL000000766,0,Normal
DL000000767,1,Normal
DL000000768,1,Normal
DL000000769,0,Normal
DL000000770,0,Normal
DL000000771,0,Normal
DL000000772,0,Normal
DL000000773,0,Normal
DL000000774,0,Normal
DL000000775,0,Normal
DL000000776,0,Normal
DL000000777,0,Normal
DL000000778,0,Normal
DL000000779,0,Normal
DL000000780,0,Normal
DL000000781,0,Delayed status
DL000000782,1,Normal
DL000000783,0,Normal
DL000000784,0,Normal
DL000000785,0,Normal
DL000000786,0,Normal
DL000000787,0,Normal
DL000000788,0,Normal
DL000000789,0,Normal
DL000000790,0,Long delivery duration
DL000000791,0,Normal
DL000000792,0,Normal
DL000000793,0,Normal
DL000000794,0,Normal
DL000000795,0,Normal
DL000000796,0,Normal
DL000000797,0,Normal
DL000000798,0,Normal
DL000000799,0,Normal
DL000000800,0,Normal
DL000000801,0,Normal
DL000000802,0,Normal
DL000000803,0,Normal
DL000000804,0,Normal
DL000000805,0,Long delivery duration
DL000000806,1,Long delivery duration
DL000000807,0,Normal
DL000000808,0,Normal
DL000000809,0,Normal
DL000000810,0,Normal
DL000000811,0,Delayed status
DL000000812,0,Normal
DL000000813,0,Normal
DL000000814,0,Normal
DL000000815,0,Normal
DL000000816,0,Normal
DL000000817,0,Normal
DL000000818,0,Normal
DL000000819,0,Delayed status
DL000000820,0,Normal
DL000000821,0,Normal
DL000000822,0,Normal
DL000000823,No,Normal
DL000000824,0,Delayed status
DL000000825,0,Long delivery duration
DL000000826,1,Delayed status
DL000000827,0,Normal
DL000000828,1,Long delivery duration
DL000000829,0,Normal
DL000000830,0,Normal
DL000000831,0,Normal
DL000000832,1,Delayed status
DL000000833,0,Long delivery duration
DL000000834,0,Delayed status
DL000000835,0,Normal
DL000000836,0,Normal
DL000000837,0,Normal
DL000000838,0,Normal
DL000000839,0,Normal
DL000000840,0,Normal
DL000000841,0,Normal
DL000000842,0,Normal
DL000000843,0,Normal
DL000000844,0,Normal
DL000000845,0,Long delivery duration
DL000000846,0,Normal
DL000000847,0,Normal
DL000000848,0,Normal
DL000000849,0,Normal
DL000000850,0,Normal
DL000000851,0,Delayed status
DL000000852,0,Normal
DL000000853,0,Delayed status
DL000000854,0,Normal
DL000000855,0,Normal
DL000000856,0,Normal
DL000000857,0,Normal
DL000000858,0,Normal
DL000000859,0,Normal
DL000000860,0,Normal
DL000000861,0,Normal
DL000000862,0,Normal
DL000000863,0,Normal
DL000000864,0,Normal
DL000000865,0,Normal
DL000000866,0,Normal
DL000000867,0,Normal
DL000000868,0,Normal
DL000000869,0,Normal
DL000000870,0,Normal
DL000000871,0,Normal
DL000000872,0,Normal
DL000000873,0,Normal
DL000000874,0,Delayed status
DL000000875,0,Normal
DL000000876,0,Normal
DL000000877,0,Normal
DL000000878,0,Normal
DL000000879,0,Normal
DL000000880,0,Normal
DL000000881,0,Normal
DL000000882,0,Normal
DL000000883,0,Normal
DL000000884,0,Normal
DL000000885,1,Delayed status
DL000000886,1,Delayed status
DL000000887,0,Normal
DL000000888,0,Normal
DL000000889,0,Normal
DL000000890,0,Normal
DL000000891,0,Normal
DL000000892,0,Normal
DL000000893,0,Normal
DL000000894,0,Delayed status
DL000000895,0,Normal
DL000000896,0,Normal
DL000000897,0,Normal
DL000000898,0,Normal
DL000000899,0,Delayed status
DL000000900,0,Normal
DL000000901,0,Normal
DL000000902,1,Normal
DL000000903,0,Normal
DL000000904,0,Normal
DL000000905,0,Normal
DL000000906,0,Normal
DL000000907,0,Normal
DL000000908,0,Normal
DL000000909,0,Normal
DL000000910,0,Normal
DL000000911,0,Normal
DL000000912,0,Normal
DL000000913,0,Delayed status
DL000000914,0,Normal
DL000000915,0,Normal
DL000000916,1,Delayed status
DL000000917,1,Delayed status
DL000000918,0,Normal
DL000000919,0,Normal
DL000000920,0,Normal
DL000000921,0,Normal
DL000000922,0,Normal
DL000000923,1,Normal
DL000000924,0,Normal
DL000000925,0,Long delivery duration
DL000000926,1,Normal
DL000000927,0,Normal
DL000000928,0,Normal
DL000000929,0,Normal
DL000000930,0,Normal
DL000000931,0,Normal
DL000000932,0,Normal
DL000000933,0,Normal
DL000000934,0,Normal
DL000000935,0,Normal
DL000000936,0,Normal
DL000000937,0,Normal
DL000000938,0,Normal
DL000000939,0,Normal
DL000000940,0,Normal
DL000000941,0,Long delivery duration
DL000000942,0,Normal
DL000000943,0,Normal
DL000000944,1,Normal
DL000000945,0,Normal
DL000000946,0,Normal
DL000000947,0,Normal
DL000000948,0,Normal
DL000000949,0,Normal
DL000000950,0,Normal
DL000000951,0,Normal
DL000000952,0,Normal
DL000000953,0,Normal
DL000000954,0,Normal
DL000000955,0,Normal
DL000000956,0,Normal
DL000000957,0,Normal
DL000000958,0,Normal
DL000000959,0,Normal
DL000000960,0,Normal
DL000000961,0,Normal
DL000000962,0,Normal
DL000000963,0,Normal
DL000000964,0,Normal
DL000000965,0,Normal
DL000000966,0,Normal
DL000000967,0,Normal
DL000000968,0,Normal
DL000000969,0,Normal
DL000000970,0,Normal
DL000000971,0,Normal
DL000000972,0,Normal
DL000000973,0,Normal
DL000000974,0,Normal
DL000000975,0,Normal
DL000000976,0,Normal
DL000000977,0,Delayed status
DL000000978,0,Normal
DL000000979,0,Normal
DL000000980,1,Delayed status
DL000000981,0,Normal
DL000000982,0,Delayed status
DL000000983,0,Normal
DL000000984,0,Normal
DL000000985,0,Delayed status
DL000000986,0,Normal
DL000000987,0,Normal
DL000000988,0,Normal
DL000000989,0,Normal
DL000000990,0,Normal
DL000000991,0,Normal
DL000000992,0,Normal
DL000000993,1,Long delivery duration
DL000000994,0,Normal
DL000000995,0,Normal
DL000000996,0,Normal
DL000000997,0,Normal
DL000000998,0,Normal
DL000000999,0,Normal
DL000001000,0,Normal
DL000001001,0,Normal
DL000001002,0,Delayed status
DL000001003,0,Normal
DL000001004,0,Normal
DL000001005,0,Normal
DL000001006,0,Normal
DL000001007,1,Normal
DL000001008,0,Normal
DL000001009,0,Normal
DL000001010,0,Normal
DL000001011,0,Long delivery duration
DL000001012,0,Normal
DL000001013,0,Normal
DL000001014,0,Normal
DL000001015,0,Normal
DL000001016,0,Normal
DL000001017,0,Normal
DL000001018,0,Normal
DL000001019,0,Normal
DL000001020,0,Normal
DL000001021,0,Normal
DL000001022,1,Delayed status
DL000001023,0,Normal
DL000001024,0,Normal
DL000001025,0,Normal
DL000001026,0,Long delivery duration
DL000001027,0,Normal
DL000001028,0,Normal
DL000001029,0,Normal
DL000001030,0,Normal
DL000001031,0,Normal
DL000001032,0,Normal
DL000001033,0,Delayed status
DL000001034,0,Normal
DL000001035,0,Normal
DL000001036,0,Normal
DL000001037,1,Delayed status
DL000001038,0,Normal
DL000001039,0,Normal
DL000001040,0,Normal
DL000001041,0,Normal
DL000001042,0,Normal
DL000001043,0,Normal
DL000001044,0,Long delivery duration
DL000001045,0,Normal
DL000001046,0,Normal
DL000001047,0,Normal
DL000001048,0,Normal
DL000001049,0,Delayed status
DL000001050,0,Normal
DL000001051,0,Long delivery duration
DL000001052,0,Normal
DL000001053,0,Normal
DL000001054,0,Normal
DL000001055,0,Long delivery duration
DL000001056,0,Normal
DL000001057,0,Normal
DL000001058,0,Normal
DL000001059,0,Normal
DL000001060,0,Normal
DL000001061,0,Normal
DL000001062,0,Normal
DL000001063,0,Normal
DL000001064,0,Normal
DL000001065,0,Delayed status
DL000001066,0,Normal
DL000001067,0,Normal
DL000001068,0,Normal
DL000001069,0,Normal
DL000001070,0,Normal
DL000001071,0,Normal
DL000001072,0,Normal
DL000001073,0,Normal
DL000001074,0,Normal
DL000001075,0,Normal
DL000001076,0,Normal
DL000001077,0,Normal
DL000001078,0,Normal
DL000001079,0,Normal
DL000001080,0,Delayed status
DL000001081,0,Normal
DL000001082,0,Normal
DL000001083,0,Delayed status
DL000001084,0,Normal
DL000001085,0,Delayed status
DL000001086,0,Normal
DL000001087,0,Normal
DL000001088,0,Normal
DL000001089,0,Normal
DL000001090,1,Delayed status
DL000001091,0,Normal
DL000001092,0,Normal
DL000001093,0,Normal
DL000001094,0,Normal
DL000001095,0,Normal
DL000001096,0,Normal
DL000001097,0,Normal
DL000001098,0,Delayed status
DL000001099,0,Normal
DL000001100,0,Normal
DL000001101,0,Normal
DL000001102,0,Normal
DL000001103,0,Normal
DL000001104,1,Normal
DL000001105,0,Normal
DL000001106,0,Normal
DL000001107,0,Normal
DL000001108,0,Normal
DL000001109,0,Delayed status
DL000001110,0,Normal
DL000001111,0,Normal
DL000001112,0,Normal
DL000001113,0,Normal
DL000001114,0,Normal
DL000001115,0,Normal
DL000001116,0,Normal
DL000001117,0,Normal
DL000001118,0,Normal
DL000001119,0,Normal
DL000001120,0,Normal
DL000001121,0,Normal
DL000001122,0,Long delivery duration
DL000001123,0,Normal
DL000001124,0,Normal
