vehicle_id,vehicle_type,vehicle_age_years,capacity_kg,fuel_type,maintenance_score,current_mileage_km
V000123,Medium Truck,4,8000,Diesel,94.41,235033.0
V000124,Van,12,1000,Petrol,69.22,23316.0
V000125,Van,4,1000,Petrol,81.14,92750.0
V000126,Medium Truck,5,8000,Diesel,77.63,292505.0
V000127,Van,7,1000,Petrol,94.0,42442.0
V000128,Van,9,1000,Petrol,66.26,301026.0
V000129,Motorbike,10,50,Petrol,76.49,109067.0
V000130,Van,6,1000,Petrol,98.36,238925.0
V000131,Medium Truck,9,8000,Diesel,100.0,173126.0
V000132,Medium Truck,14,8000,Diesel,58.07,195930.0
V000133,Light Truck,14,3500,Diesel,79.94,324713.0
V000134,Light Truck,3,3500,Diesel,71.91,166498.0
V000135,Light Truck,4,3500,Diesel,94.76,90100.0
V000136,Van,10,1000,Petrol,100.0,320567.0
V000137,Van,10,1000,Petrol,93.95,41945.0
V000138,Van,3,1000,Petrol,100.0,274457.0
V000139,Motorbike,14,50,Petrol,68.62,124503.0
V000140,Heavy Truck,1,20000,Diesel,63.92,99411.0
V000141,Medium Truck,12,8000,Diesel,74.3,50762.0
V000142,Van,11,1000,Petrol,89.1,175385.0
V000143,Van,2,1000,Petrol,86.92,111670.0
V000144,Medium Truck,9,8000,Diesel,77.1,188163.0
V000145,Van,11,1000,Petrol,79.35,36979.0
V000146,Heavy Truck,5,20000,Diesel,96.75,255054.0
V000147,Van,7,1000,Petrol,67.2,162447.0
V000148,Van,7,1000,Petrol,91.58,259732.0
V000149,Medium Truck,1,8000,Diesel,76.19,282109.0
V000150,Medium Truck,2,8000,Diesel,86.36,221434.0
V000151,Medium Truck,1,8000,Diesel,90.51,153846.0
V000152,Light Truck,6,3500,Diesel,100.0,176838.0
V000153,Light Truck,11,3500,Diesel,92.26,147657.0
V000154,Van,6,1000,Petrol,71.94,125274.0
V000155,Van,8,1000,Petrol,71.46,226682.0
V000156,Van,4,1000,Petrol,79.27,93520.0
V000157,Medium Truck,6,8000,Diesel,92.17,137341.0
V000158,Heavy Truck,10,20000,Diesel,81.76,157000.0
V000159,Motorbike,13,50,Petrol,67.96,267691.0
V000160,Medium Truck,13,8000,Diesel,75.3,170902.0
V000161,Heavy Truck,7,20000,Diesel,84.81,235551.0
V000162,Van,10,1000,Petrol,86.53,232988.0
V000163,Light Truck,4,3500,Diesel,79.57,36908.0
V000164,Medium Truck,4,8000,Diesel,47.02,263186.0
V000165,Motorbike,8,50,Petrol,82.22,205870.0
V000166,Light Truck,14,3500,Diesel,83.47,175092.0
V000167,Medium Truck,10,8000,Diesel,78.61,117304.0
V000168,Light Truck,1,3500,Diesel,73.48,184019.0
V000169,Heavy Truck,0,20000,Diesel,84.62,241028.0
V000170,Van,2,1000,Petrol,85.9,381192.0
V000171,Motorbike,2,50,Petrol,100.0,253769.0
V000172,Van,5,1000,Petrol,77.75,238045.0
V000173,Van,0,1000,Petrol,79.03,81417.0
V000174,Light Truck,7,3500,Diesel,75.66,51642.0
V000175,Light Truck,9,3500,Diesel,83.07,107555.0
V000176,Heavy Truck,9,20000,Diesel,62.19,129685.0
V000177,Van,13,1000,Petrol,92.02,235734.0
V000178,Medium Truck,1,8000,Diesel,81.83,67715.0
V000179,Heavy Truck,13,20000,Diesel,99.89,53283.0
V000180,Heavy Truck,4,20000,Diesel,71.25,129597.0
V000181,Motorbike,7,50,Petrol,89.99,243967.0
V000182,Medium Truck,7,8000,Diesel,80.66,131201.0
V000183,Van,9,1000,Petrol,83.38,273338.0
V000184,Van,2,1000,Petrol,56.65,267542.0
V000185,Light Truck,11,3500,Diesel,87.2,210388.0
V000186,Medium Truck,10,8000,Diesel,97.36,171157.0
V000187,Van,10,1000,Petrol,67.1,206420.0
V000188,Light Truck,14,3500,Diesel,69.89,166329.0
V000189,Light Truck,6,3500,Diesel,77.58,121500.0
V000190,Medium Truck,2,8000,Diesel,72.39,131576.0
V000191,Motorbike,3,50,Petrol,67.78,126748.0
V000192,Heavy Truck,12,20000,Diesel,80.55,332938.0
V000193,Light Truck,14,3500,Diesel,74.69,236205.0
V000194,Medium Truck,7,8000,Diesel,76.79,186564.0
V000195,Van,0,1000,Petrol,94.8,63898.0
V000196,Van,0,1000,Petrol,83.79,197126.0
V000197,Medium Truck,5,8000,Diesel,77.75,220061.0
V000198,Medium Truck,6,8000,Diesel,88.05,109862.0
V000199,Medium Truck,4,8000,Diesel,94.72,19604.0
V000200,Van,6,1000,Petrol,99.67,99963.0
V000201,Light Truck,4,3500,Diesel,72.62,21229.0
V000202,Light Truck,6,3500,Diesel,83.75,222840.0
V000203,Medium Truck,4,8000,Diesel,67.18,109814.0
V000204,Light Truck,6,3500,Diesel,63.89,196677.0
V000205,Motorbike,13,50,Petrol,74.83,171383.0
V000206,Medium Truck,6,8000,Diesel,76.6,222123.0
V000207,Light Truck,2,3500,Diesel,88.15,183400.0
V000208,Heavy Truck,3,20000,Diesel,76.79,200557.0
V000209,Light Truck,12,3500,Diesel,100.0,187608.0
V000210,Van,8,1000,Petrol,81.59,227932.0
V000211,Medium Truck,12,8000,Diesel,87.12,1000.0
V000212,Light Truck,1,3500,Diesel,87.8,114141.0
V000213,Medium Truck,14,8000,Diesel,92.24,290889.0
V000214,Light Truck,2,3500,Diesel,68.46,248458.0
V000215,Light Truck,10,3500,Diesel,80.77,7996.0
V000216,Heavy Truck,8,20000,Diesel,95.48,155812.0
V000217,Motorbike,2,50,Petrol,89.09,87741.0
V000218,Heavy Truck,13,20000,Diesel,87.36,194191.0
V000219,Light Truck,12,3500,Diesel,75.13,266834.0
V000220,Light Truck,8,3500,Diesel,76.41,101468.0
V000221,Light Truck,9,3500,Diesel,83.57,300592.0
V000222,Light Truck,6,3500,Diesel,80.74,119282.0
V000223,Light Truck,8,3500,Diesel,66.08,168371.0
V000224,Medium Truck,13,8000,Diesel,87.29,114720.0
V000225,Heavy Truck,13,20000,Diesel,87.83,252831.0
V000226,Van,9,1000,Petrol,100.0,174989.0
V000227,Van,2,1000,Petrol,76.05,268858.0
V000228,Light Truck,13,3500,Diesel,82.06,72734.0
V000229,Van,5,1000,Petrol,56.97,118820.0
V000230,Van,7,1000,Petrol,77.79,200405.0
V000231,Medium Truck,4,8000,Diesel,68.63,226735.0
V000232,Heavy Truck,3,20000,Diesel,75.2,289682.0
V000233,Medium Truck,3,8000,Diesel,80.31,167056.0
V000234,Motorbike,2,50,Petrol,86.24,193592.0
V000235,Van,12,1000,Petrol,92.16,216832.0
V000236,Heavy Truck,10,20000,Diesel,96.09,77649.0
V000237,Medium Truck,1,8000,Diesel,95.79,147932.0
V000238,Medium Truck,5,8000,Diesel,91.05,146919.0
V000239,Van,2,1000,Petrol,96.61,130230.0
V000240,Van,1,1000,Petrol,100.0,167737.0
V000241,Medium Truck,2,8000,Diesel,67.45,258723.0
V000242,Light Truck,6,3500,Diesel,99.49,217575.0
V000243,Van,10,1000,Petrol,67.15,194901.0
V000244,Light Truck,8,3500,Diesel,100.0,303966.0
V000245,Medium Truck,9,8000,Diesel,94.23,158491.0
V000246,Light Truck,14,3500,Diesel,83.14,57552.0
V000247,Van,8,1000,Petrol,74.67,255455.0
V000248,Medium Truck,8,8000,Diesel,72.64,203938.0
V000249,Motorbike,4,50,Petrol,62.36,119798.0
V000250,Medium Truck,4,8000,Diesel,89.13,229946.0
V000251,Medium Truck,14,8000,Diesel,94.21,167254.0
V000252,Heavy Truck,8,20000,Diesel,51.09,135778.0
V000253,Heavy Truck,0,20000,Diesel,94.32,95852.0
V000254,Light Truck,9,3500,Diesel,85.87,1000.0
V000255,Medium Truck,4,8000,Diesel,88.33,157623.0
V000256,Van,1,1000,Petrol,79.02,140346.0
V000257,Heavy Truck,5,20000,Diesel,89.82,306182.0
V000258,Medium Truck,8,8000,Diesel,60.46,241961.0
V000259,Light Truck,7,3500,Diesel,85.25,235177.0
V000260,Van,10,1000,Petrol,77.38,237771.0
V000261,Light Truck,10,3500,Diesel,85.29,85505.0
V000262,Van,6,1000,Petrol,83.0,222913.0
V000263,Light Truck,1,3500,Diesel,88.94,243999.0
V000264,Heavy Truck,9,20000,Diesel,82.81,145524.0
V000265,Van,5,1000,Petrol,90.62,58687.0
V000266,Medium Truck,1,8000,Diesel,79.3,300848.0
V000267,Medium Truck,0,8000,Diesel,72.72,234449.0
V000268,Light Truck,13,3500,Diesel,63.33,321699.0
V000269,Medium Truck,8,8000,Diesel,79.18,285650.0
V000270,Van,3,1000,Petrol,78.98,418470.0
V000271,Van,6,1000,Petrol,80.19,99653.0
V000272,Medium Truck,1,8000,Diesel,86.08,234276.0
V000273,Van,7,1000,Petrol,75.79,175171.0
V000274,Van,13,1000,Petrol,70.57,18357.0
V000275,Van,6,1000,Petrol,93.51,1000.0
V000276,Van,11,1000,Petrol,65.47,265072.0
V000277,Van,8,1000,Petrol,84.11,101481.0
V000278,Van,8,1000,Petrol,85.56,197824.0
V000279,Van,14,1000,Petrol,91.34,250258.0
V000280,Medium Truck,14,8000,Diesel,72.73,154104.0
V000281,Van,4,1000,Petrol,81.85,181622.0
V000282,Van,5,1000,Petrol,77.04,311520.0
V000283,Van,2,1000,Petrol,82.16,81033.0
V000284,Light Truck,11,3500,Diesel,75.49,115194.0
V000285,Light Truck,4,3500,Diesel,85.87,222156.0
V000286,Van,1,1000,Petrol,86.32,142522.0
V000287,Motorbike,13,50,Petrol,100.0,82280.0
V000288,Van,1,1000,Petrol,100.0,201462.0
V000289,Medium Truck,3,8000,Diesel,99.04,166500.0
V000290,Light Truck,1,3500,Diesel,83.81,244551.0
V000291,Van,0,1000,Petrol,90.09,39370.0
V000292,Light Truck,14,3500,Diesel,82.22,47232.0
V000293,Motorbike,8,50,Petrol,91.34,193183.0
V000294,Van,8,1000,Petrol,71.66,252277.0
V000295,Van,0,1000,Petrol,82.12,340007.0
V000296,Medium Truck,13,8000,Diesel,97.91,222189.0
V000297,Van,3,1000,Petrol,85.54,317743.0
V000298,Heavy Truck,0,20000,Diesel,93.47,357811.0
V000299,Medium Truck,4,8000,Diesel,75.22,145464.0
V000300,Light Truck,13,3500,Diesel,82.52,214797.0
V000301,Light Truck,4,3500,Diesel,80.07,100352.0
V000302,Van,3,1000,Petrol,78.11,21000.0
V000303,Light Truck,10,3500,Diesel,94.87,184882.0
V000304,Heavy Truck,6,20000,Diesel,93.09,138834.0
V000305,Van,11,1000,Petrol,61.37,198335.0
V000306,Van,3,1000,Petrol,89.5,196606.0
V000307,Medium Truck,3,8000,Diesel,80.09,147367.0
V000308,Medium Truck,0,8000,Diesel,100.0,155216.0
V000309,Light Truck,14,3500,Diesel,88.93,124068.0
V000310,Medium Truck,9,8000,Diesel,91.05,243680.0
V000311,Medium Truck,11,8000,Diesel,96.22,251191.0
V000312,Van,14,1000,Petrol,82.33,155586.0
V000313,Light Truck,9,3500,Diesel,67.82,217590.0
V000314,Van,13,1000,Petrol,99.12,223626.0
V000315,Heavy Truck,14,20000,Diesel,89.78,346379.0
V000316,Light Truck,3,3500,Diesel,71.66,115897.0
V000317,Van,9,1000,Petrol,86.82,294373.0
V000318,Van,12,1000,Petrol,83.4,117734.0
V000319,Medium Truck,1,8000,Diesel,94.4,319425.0
V000320,Light Truck,14,3500,Diesel,100.0,118111.0
V000321,Medium Truck,8,8000,Diesel,87.12,247705.0
V000322,Light Truck,0,3500,Diesel,82.18,216713.0
V000323,Light Truck,0,3500,Diesel,75.52,257323.0
V000324,Van,1,1000,Petrol,78.98,80315.0
V000325,Van,2,1000,Petrol,82.21,257969.0
V000326,Medium Truck,11,8000,Diesel,60.28,309048.0
V000327,Medium Truck,5,8000,Diesel,100.0,138778.0
V000328,Medium Truck,9,8000,Diesel,95.84,3107.0
V000329,Medium Truck,14,8000,Diesel,93.09,156075.0
V000330,Heavy Truck,6,20000,Diesel,69.67,171878.0
V000331,Medium Truck,14,8000,Diesel,75.34,63871.0
V000332,Medium Truck,1,8000,Diesel,49.23,1000.0
V000333,Van,2,1000,Petrol,77.97,341739.0
V000334,Medium Truck,12,8000,Diesel,84.4,169401.0
V000335,Motorbike,1,50,Petrol,63.16,86709.0
V000336,Light Truck,8,3500,Diesel,100.0,252835.0
V000337,Motorbike,5,50,Petrol,72.46,213578.0
V000338,Medium Truck,7,8000,Diesel,88.05,128511.0
V000339,Light Truck,14,3500,Diesel,97.12,225902.0
V000340,Van,13,1000,Petrol,85.95,58316.0
V000341,Van,14,1000,Petrol,100.0,272317.0
V000342,Heavy Truck,12,20000,Diesel,69.06,332459.0
V000343,Van,4,1000,Petrol,78.46,140159.0
V000344,Light Truck,4,3500,Diesel,91.09,28993.0
V000345,Medium Truck,2,8000,Diesel,84.4,192785.0
V000346,Van,6,1000,Petrol,73.58,56345.0
V000347,Light Truck,14,3500,Diesel,71.69,285019.0
V000348,Light Truck,9,3500,Diesel,63.27,13055.0
V000349,Light Truck,2,3500,Diesel,86.98,300511.0
V000350,Medium Truck,6,8000,Diesel,75.77,25133.0
V000351,Motorbike,14,50,Petrol,100.0,183575.0
V000352,Medium Truck,10,8000,Diesel,80.89,177415.0
V000353,Van,8,1000,Petrol,46.23,21541.0
V000354,Medium Truck,1,8000,Diesel,90.42,263545.0
V000355,Medium Truck,11,8000,Diesel,70.66,151754.0
V000356,Medium Truck,1,8000,Diesel,84.44,243054.0
V000357,Van,3,1000,Petrol,88.2,110857.0
V000358,Light Truck,13,3500,Diesel,94.06,129771.0
V000359,Van,9,1000,Petrol,93.31,115111.0
V000360,Medium Truck,5,8000,Diesel,97.11,206377.0
V000361,Medium Truck,4,8000,Diesel,73.42,193586.0
V000362,Van,3,1000,Petrol,98.72,189981.0
V000363,Van,10,1000,Petrol,88.55,98680.0
V000364,Light Truck,5,3500,Diesel,76.78,222975.0
V000365,Van,7,1000,Petrol,85.79,205776.0
V000366,Van,4,1000,Petrol,96.27,297785.0
V000367,Light Truck,8,3500,Diesel,85.82,178118.0
V000368,Van,6,1000,Petrol,92.68,231520.0
V000369,Light Truck,6,3500,Diesel,95.58,142479.0
V000370,Heavy Truck,1,20000,Diesel,82.08,223035.0
V000371,Van,5,1000,Petrol,86.52,194274.0
V000372,Medium Truck,9,8000,Diesel,81.99,80057.0
V000373,Light Truck,6,3500,Diesel,66.94,184835.0
V000374,Van,9,1000,Petrol,99.62,320111.0
V000375,Light Truck,2,3500,Diesel,62.41,336110.0
V000376,Van,6,1000,Petrol,72.86,89101.0
V000377,Van,14,1000,Petrol,86.27,300216.0
V000378,Van,14,1000,Petrol,74.59,161834.0
V000379,Van,7,1000,Petrol,66.9,352928.0
V000380,Light Truck,11,3500,Diesel,85.79,262070.0
V000381,Van,7,1000,Petrol,79.06,164290.0
V000382,Light Truck,2,3500,Diesel,81.3,148374.0
V000383,Van,8,1000,Petrol,100.0,187548.0
V000384,Medium Truck,2,8000,Diesel,87.95,242025.0
V000385,Heavy Truck,5,20000,Diesel,92.97,273896.0
V000386,Motorbike,3,50,Petrol,88.03,208409.0
V000387,Light Truck,0,3500,Diesel,71.17,198124.0
V000388,Light Truck,14,3500,Diesel,54.75,264768.0
V000389,Motorbike,3,50,Petrol,100.0,275998.0
V000390,Heavy Truck,8,20000,Diesel,78.73,261054.0
V000391,Van,1,1000,Petrol,64.77,321052.0
V000392,Medium Truck,3,8000,Diesel,94.93,84600.0
V000393,Van,1,1000,Petrol,81.59,195345.0
V000394,Light Truck,14,3500,Diesel,77.46,176573.0
V000395,Van,12,1000,Petrol,74.42,69133.0
V000396,Light Truck,0,3500,Diesel,81.38,173423.0
V000397,Van,14,1000,Petrol,75.56,103169.0
V000398,Heavy Truck,11,20000,Diesel,68.86,220075.0
V000399,Light Truck,13,3500,Diesel,82.4,116898.0
V000400,Van,4,1000,Petrol,93.23,209555.0
V000401,Motorbike,3,50,Petrol,66.08,158872.0
V000402,Medium Truck,11,8000,Diesel,69.62,92729.0
V000403,Light Truck,10,3500,Diesel,86.95,290632.0
V000404,Light Truck,10,3500,Diesel,93.81,165350.0
V000405,Van,5,1000,Petrol,85.77,90589.0
V000406,Light Truck,2,3500,Diesel,85.52,106354.0
V000407,Light Truck,9,3500,Diesel,100.0,265014.0
V000408,Medium Truck,13,8000,Diesel,92.41,166408.0
V000409,Light Truck,7,3500,Diesel,70.01,294873.0
V000410,Light Truck,4,3500,Diesel,90.77,266297.0
V000411,Heavy Truck,11,20000,Diesel,78.28,196856.0
V000412,Heavy Truck,0,20000,Diesel,100.0,139142.0
V000413,Van,12,1000,Petrol,100.0,49911.0
V000414,Medium Truck,3,8000,Diesel,91.15,259233.0
V000415,Medium Truck,8,8000,Diesel,72.01,148904.0
V000416,Medium Truck,10,8000,Diesel,79.6,260710.0
V000417,Van,2,1000,Petrol,63.1,187694.0
V000418,Light Truck,8,3500,Diesel,94.13,162071.0
V000419,Medium Truck,4,8000,Diesel,82.61,108576.0
V000420,Van,0,1000,Petrol,99.71,150063.0
V000421,Heavy Truck,8,20000,Diesel,80.99,109889.0
V000422,Van,13,1000,Petrol,82.49,68404.0
V000423,Medium Truck,14,8000,Diesel,70.98,117067.0
V000424,Medium Truck,8,8000,Diesel,78.19,206500.0
V000425,Light Truck,14,3500,Diesel,98.61,344951.0
V000426,Heavy Truck,0,20000,Diesel,51.51,235004.0
V000427,Van,10,1000,Petrol,96.25,222345.0
V000428,Light Truck,10,3500,Diesel,100.0,120629.0
V000429,Van,14,1000,Petrol,96.69,318102.0
V000430,Van,6,1000,Petrol,69.0,156424.0
V000431,Van,2,1000,Petrol,100.0,107483.0
V000432,Light Truck,10,3500,Diesel,89.38,208913.0
V000433,Van,4,1000,Petrol,52.83,229760.0
V000434,Light Truck,7,3500,Diesel,92.34,225601.0
V000435,Heavy Truck,4,20000,Diesel,84.19,157090.0
V000436,Heavy Truck,6,20000,Diesel,98.59,175293.0
V000437,Light Truck,14,3500,Diesel,80.9,261511.0
V000438,Light Truck,0,3500,Diesel,83.11,199743.0
V000439,Van,6,1000,Petrol,68.81,266295.0
V000440,Van,3,1000,Petrol,75.98,134241.0
V000441,Heavy Truck,12,20000,Diesel,72.32,166022.0
V000442,Van,6,1000,Petrol,65.03,150200.0
V000443,Light Truck,4,3500,Diesel,95.66,207728.0
V000444,Van,3,1000,Petrol,83.49,158293.0
V000445,Light Truck,5,3500,Diesel,73.65,93842.0
V000446,Van,0,1000,Petrol,71.79,68373.0
V000447,Heavy Truck,2,20000,Diesel,97.87,17448.0
V000448,Van,12,1000,Petrol,95.92,268023.0
V000449,Van,14,1000,Petrol,81.05,186384.0
V000450,Light Truck,5,3500,Diesel,65.65,237281.0
V000451,Medium Truck,11,8000,Diesel,94.38,271445.0
V000452,Van,7,1000,Petrol,92.16,153697.0
V000453,Medium Truck,3,8000,Diesel,88.56,350194.0
V000454,Light Truck,7,3500,Diesel,63.94,98376.0
V000455,Heavy Truck,9,20000,Diesel,76.18,341661.0
V000456,Light Truck,9,3500,Diesel,70.77,218947.0
V000457,Heavy Truck,14,20000,Diesel,80.92,49069.0
V000458,Medium Truck,13,8000,Diesel,91.4,179727.0
V000459,Medium Truck,12,8000,Diesel,74.09,302052.0
V000460,Medium Truck,2,8000,Diesel,99.82,84513.0
V000461,Van,8,1000,Petrol,64.18,225957.0
V000462,Van,9,1000,Petrol,100.0,186279.0
V000463,Light Truck,7,3500,Diesel,70.03,215874.0
V000464,Medium Truck,0,8000,Diesel,78.01,329609.0
V000465,Heavy Truck,8,20000,Diesel,80.64,176338.0
V000466,Heavy Truck,13,20000,Diesel,76.87,357073.0
V000467,Light Truck,8,3500,Diesel,93.45,175935.0
V000468,Medium Truck,8,8000,Diesel,71.61,173416.0
V000469,Medium Truck,14,8000,Diesel,75.18,276837.0
V000470,Van,14,1000,Petrol,77.79,241618.0
V000471,Light Truck,4,3500,Diesel,80.64,384009.0
V000472,Heavy Truck,0,20000,Diesel,92.72,129769.0
V000473,Light Truck,13,3500,Diesel,69.53,240773.0
V000474,Light Truck,5,3500,Diesel,70.37,315965.0
V000475,Van,4,1000,Petrol,90.7,161523.0
V000476,Van,0,1000,Petrol,72.83,94726.0
V000477,Medium Truck,2,8000,Diesel,100.0,255622.0
V000478,Medium Truck,11,8000,Diesel,95.02,365204.0
V000479,Motorbike,6,50,Petrol,88.05,1000.0
V000480,Van,9,1000,Petrol,79.27,164448.0
V000481,Light Truck,9,3500,Diesel,80.23,266795.0
V000482,Van,8,1000,Petrol,89.45,115867.0
V000483,Medium Truck,2,8000,Diesel,69.93,342536.0
V000484,Light Truck,13,3500,Diesel,73.61,216892.0
V000485,Light Truck,7,3500,Diesel,95.64,222184.0
V000486,Medium Truck,5,8000,Diesel,76.32,248455.0
V000487,Heavy Truck,8,20000,Diesel,72.6,168692.0
