date,currency,zar_rate
2025-01-29,USD,18.5017
2025-01-29,GBP,23.1785
2025-01-29,EUR,21.0452
2025-01-29,AUD,11.9432
2025-01-30,USD,18.083
2025-01-30,GBP,23.419
2025-01-30,EUR,20.9488
2025-01-30,AUD,11.7869
2025-01-31,USD,18.2372
2025-01-31,GBP,23.5617
2025-01-31,EUR,21.2083
2025-01-31,AUD,11.7483
2025-02-01,USD,18.0453
2025-02-01,GBP,23.0952
2025-02-01,EUR,20.9947
2025-02-01,AUD,11.8085
2025-02-02,USD,18.3074
2025-02-02,GBP,23.5371
2025-02-02,EUR,20.8112
2025-02-02,AUD,11.8056
2025-02-03,USD,18.1426
2025-02-03,GBP,23.5394
2025-02-03,EUR,21.1524
2025-02-03,AUD,11.8892
2025-02-04,USD,18.284
2025-02-04,GBP,23.3771
2025-02-04,EUR,21.0269
2025-02-04,AUD,11.7246
2025-02-05,USD,18.3568
2025-02-05,GBP,23.4966
2025-02-05,EUR,20.7583
2025-02-05,AUD,11.8102
2025-02-06,USD,18.5107
2025-02-06,GBP,23.5133
2025-02-06,EUR,20.9713
2025-02-06,AUD,11.6876
2025-02-07,USD,18.5538
2025-02-07,GBP,23.411
2025-02-07,EUR,20.4929
2025-02-07,AUD,11.7625
2025-02-08,USD,17.896
2025-02-08,GBP,23.0463
2025-02-08,EUR,20.8644
2025-02-08,AUD,11.7581
2025-02-09,USD,18.1475
2025-02-09,GBP,23.5366
2025-02-09,EUR,20.8681
2025-02-09,AUD,11.813
2025-02-10,USD,18.2326
2025-02-10,GBP,23.1609
2025-02-10,EUR,20.7544
2025-02-10,AUD,11.8943
2025-02-11,USD,18.0875
2025-02-11,GBP,23.6428
2025-02-11,EUR,21.0962
2025-02-11,AUD,11.7674
2025-02-12,USD,18.3315
2025-02-12,GBP,23.1906
2025-02-12,EUR,20.7602
2025-02-12,AUD,11.8362
2025-02-13,USD,18.3043
2025-02-13,GBP,23.1021
2025-02-13,EUR,20.6603
2025-02-13,AUD,11.9968
2025-02-14,USD,18.2138
2025-02-14,GBP,23.6228
2025-02-14,EUR,20.9449
2025-02-14,AUD,11.8319
2025-02-15,USD,18.1899
2025-02-15,GBP,23.5506
2025-02-15,EUR,20.9989
2025-02-15,AUD,11.7551
2025-02-16,USD,18.1259
2025-02-16,GBP,23.5709
2025-02-16,EUR,20.9016
2025-02-16,AUD,11.887
2025-02-17,USD,18.0016
2025-02-17,GBP,23.4698
2025-02-17,EUR,20.7556
2025-02-17,AUD,11.6507
2025-02-18,USD,18.3342
2025-02-18,GBP,23.3151
2025-02-18,EUR,20.9595
2025-02-18,AUD,11.7167
2025-02-19,USD,18.2267
2025-02-19,GBP,23.5152
2025-02-19,EUR,21.0774
2025-02-19,AUD,11.873
2025-02-20,USD,18.1422
2025-02-20,GBP,23.6416
2025-02-20,EUR,21.0321
2025-02-20,AUD,11.7036
2025-02-21,USD,18.1076
2025-02-21,GBP,23.3758
2025-02-21,EUR,20.7965
2025-02-21,AUD,11.8876
2025-02-22,USD,18.0682
2025-02-22,GBP,23.7604
2025-02-22,EUR,20.8265
2025-02-22,AUD,11.8069
2025-02-23,USD,18.0735
2025-02-23,GBP,23.2397
2025-02-23,EUR,21.0965
2025-02-23,AUD,11.6644
2025-02-24,USD,18.1179
2025-02-24,GBP,23.5114
2025-02-24,EUR,20.8753
2025-02-24,AUD,11.9037
2025-02-25,USD,18.0753
2025-02-25,GBP,23.7688
2025-02-25,EUR,20.6839
2025-02-25,AUD,11.7022
2025-02-26,USD,18.4133
2025-02-26,GBP,23.6042
2025-02-26,EUR,21.1783
2025-02-26,AUD,11.993
2025-02-27,USD,18.2848
2025-02-27,GBP,23.4491
2025-02-27,EUR,21.1955
2025-02-27,AUD,11.9846
2025-02-28,USD,18.2619
2025-02-28,GBP,23.2183
2025-02-28,EUR,20.7124
2025-02-28,AUD,11.7491
2025-03-01,USD,17.9858
2025-03-01,GBP,23.519
2025-03-01,EUR,21.0935
2025-03-01,AUD,11.8012
2025-03-02,USD,18.1144
2025-03-02,GBP,23.3755
2025-03-02,EUR,20.8315
2025-03-02,AUD,11.7875
2025-03-03,USD,17.9039
2025-03-03,GBP,23.3426
2025-03-03,EUR,20.8583
2025-03-03,AUD,11.8466
2025-03-04,USD,18.3298
2025-03-04,GBP,23.5624
2025-03-04,EUR,20.9479
2025-03-04,AUD,11.9089
2025-03-05,USD,18.118
2025-03-05,GBP,23.4227
2025-03-05,EUR,20.7657
2025-03-05,AUD,11.8585
2025-03-06,USD,18.2521
2025-03-06,GBP,23.9061
2025-03-06,EUR,20.8345
2025-03-06,AUD,11.8073
2025-03-07,USD,18.0454
2025-03-07,GBP,23.4217
2025-03-07,EUR,20.6422
2025-03-07,AUD,11.7624
2025-03-08,USD,18.4416
2025-03-08,GBP,23.605
2025-03-08,EUR,20.5418
2025-03-08,AUD,11.6478
2025-03-09,USD,18.2259
2025-03-09,GBP,23.0579
2025-03-09,EUR,20.9594
2025-03-09,AUD,11.8271
2025-03-10,USD,18.2555
2025-03-10,GBP,23.4788
2025-03-10,EUR,21.0944
2025-03-10,AUD,11.8571
2025-03-11,USD,18.0878
2025-03-11,GBP,23.2417
2025-03-11,EUR,20.9329
2025-03-11,AUD,11.7144
2025-03-12,USD,18.1548
2025-03-12,GBP,23.4621
2025-03-12,EUR,21.1027
2025-03-12,AUD,11.7967
2025-03-13,USD,18.2838
2025-03-13,GBP,23.1056
2025-03-13,EUR,21.1537
2025-03-13,AUD,11.8762
2025-03-14,USD,18.2106
2025-03-14,GBP,23.3771
2025-03-14,EUR,20.8024
2025-03-14,AUD,11.5342
2025-03-15,USD,18.1082
2025-03-15,GBP,23.562
2025-03-15,EUR,20.5673
2025-03-15,AUD,11.7703
2025-03-16,USD,18.2717
2025-03-16,GBP,23.3152
2025-03-16,EUR,20.5304
2025-03-16,AUD,11.8228
2025-03-17,USD,18.235
2025-03-17,GBP,23.3968
2025-03-17,EUR,21.2042
2025-03-17,AUD,11.8522
2025-03-18,USD,18.0579
2025-03-18,GBP,23.4408
2025-03-18,EUR,20.7076
2025-03-18,AUD,11.6719
2025-03-19,USD,18.1966
2025-03-19,GBP,23.2571
2025-03-19,EUR,20.9229
2025-03-19,AUD,11.8258
2025-03-20,USD,18.1353
2025-03-20,GBP,23.5258
2025-03-20,EUR,20.9317
2025-03-20,AUD,11.8309
2025-03-21,USD,17.9714
2025-03-21,GBP,23.3203
2025-03-21,EUR,20.9179
2025-03-21,AUD,11.7608
2025-03-22,USD,18.086
2025-03-22,GBP,23.5136
2025-03-22,EUR,20.8054
2025-03-22,AUD,11.7867
2025-03-23,USD,17.9819
2025-03-23,GBP,23.5953
2025-03-23,EUR,21.0957
2025-03-23,AUD,11.7185
2025-03-24,USD,17.9527
2025-03-24,GBP,23.0464
2025-03-24,EUR,20.9936
2025-03-24,AUD,11.8646
2025-03-25,USD,18.0483
2025-03-25,GBP,23.4138
2025-03-25,EUR,20.6946
2025-03-25,AUD,11.7452
2025-03-26,USD,18.2473
2025-03-26,GBP,23.5956
2025-03-26,EUR,21.1863
2025-03-26,AUD,11.9175
2025-03-27,USD,18.0896
2025-03-27,GBP,23.1493
2025-03-27,EUR,20.8117
2025-03-27,AUD,11.8013
2025-03-28,USD,18.3385
2025-03-28,GBP,23.2847
2025-03-28,EUR,20.9228
2025-03-28,AUD,12.0042
2025-03-29,USD,18.1039
2025-03-29,GBP,23.4987
2025-03-29,EUR,20.9579
2025-03-29,AUD,11.7828
2025-03-30,USD,17.9094
2025-03-30,GBP,23.3771
2025-03-30,EUR,20.6481
2025-03-30,AUD,11.9086
2025-03-31,USD,18.1382
2025-03-31,GBP,22.9847
2025-03-31,EUR,21.0369
2025-03-31,AUD,11.8722
2025-04-01,USD,18.1
2025-04-01,GBP,23.1634
2025-04-01,EUR,20.7621
2025-04-01,AUD,11.8981
2025-04-02,USD,18.2045
2025-04-02,GBP,23.4557
2025-04-02,EUR,21.0004
2025-04-02,AUD,11.9174
2025-04-03,USD,18.2586
2025-04-03,GBP,23.6213
2025-04-03,EUR,21.0389
2025-04-03,AUD,11.7272
2025-04-04,USD,18.1385
2025-04-04,GBP,23.6527
2025-04-04,EUR,20.5207
2025-04-04,AUD,11.9354
2025-04-05,USD,18.3829
2025-04-05,GBP,23.3029
2025-04-05,EUR,21.12
2025-04-05,AUD,11.7435
2025-04-06,USD,18.3456
2025-04-06,GBP,23.3557
2025-04-06,EUR,20.7353
2025-04-06,AUD,11.7993
2025-04-07,USD,18.3854
2025-04-07,GBP,23.1897
2025-04-07,EUR,20.8241
2025-04-07,AUD,11.9287
2025-04-08,USD,18.1723
2025-04-08,GBP,23.397
2025-04-08,EUR,21.082
2025-04-08,AUD,11.6738
2025-04-09,USD,18.3205
2025-04-09,GBP,23.5115
2025-04-09,EUR,20.7902
2025-04-09,AUD,11.8335
2025-04-10,USD,18.3127
2025-04-10,GBP,23.6298
2025-04-10,EUR,21.0344
2025-04-10,AUD,11.7994
2025-04-11,USD,18.4599
2025-04-11,GBP,23.1242
2025-04-11,EUR,20.8208
2025-04-11,AUD,11.8663
2025-04-12,USD,18.4993
2025-04-12,GBP,23.2624
2025-04-12,EUR,20.9499
2025-04-12,AUD,11.8037
2025-04-13,USD,18.1058
2025-04-13,GBP,23.3927
2025-04-13,EUR,20.8591
2025-04-13,AUD,11.8391
2025-04-14,USD,18.3391
2025-04-14,GBP,23.4373
2025-04-14,EUR,21.1413
2025-04-14,AUD,11.8961
2025-04-15,USD,18.1846
2025-04-15,GBP,23.2152
2025-04-15,EUR,20.9651
2025-04-15,AUD,11.6713
2025-04-16,USD,18.2773
2025-04-16,GBP,23.4924
2025-04-16,EUR,20.7238
2025-04-16,AUD,11.7388
2025-04-17,USD,18.1219
2025-04-17,GBP,23.3758
2025-04-17,EUR,20.7231
2025-04-17,AUD,11.8004
2025-04-18,USD,18.2121
2025-04-18,GBP,23.162
2025-04-18,EUR,21.0922
2025-04-18,AUD,11.7118
2025-04-19,USD,18.0659
2025-04-19,GBP,23.3755
2025-04-19,EUR,20.6658
2025-04-19,AUD,11.6744
2025-04-20,USD,18.1599
2025-04-20,GBP,23.4579
2025-04-20,EUR,20.8009
2025-04-20,AUD,11.7694
2025-04-21,USD,18.2636
2025-04-21,GBP,23.3844
2025-04-21,EUR,20.7538
2025-04-21,AUD,11.7268
2025-04-22,USD,18.1387
2025-04-22,GBP,23.4561
2025-04-22,EUR,20.9869
2025-04-22,AUD,11.7406
2025-04-23,USD,18.1788
2025-04-23,GBP,23.212
2025-04-23,EUR,20.708
2025-04-23,AUD,11.7763
2025-04-24,USD,18.2959
2025-04-24,GBP,23.3611
2025-04-24,EUR,20.9012
2025-04-24,AUD,11.8096
2025-04-25,USD,18.2026
2025-04-25,GBP,23.2674
2025-04-25,EUR,21.0937
2025-04-25,AUD,11.8238
2025-04-26,USD,18.212
2025-04-26,GBP,23.4562
2025-04-26,EUR,21.0542
2025-04-26,AUD,11.8644
2025-04-27,USD,18.2966
2025-04-27,GBP,23.162
2025-04-27,EUR,20.676
2025-04-27,AUD,11.9066
2025-04-28,USD,18.2504
2025-04-28,GBP,23.2257
2025-04-28,EUR,20.771
2025-04-28,AUD,11.7369
2025-04-29,USD,18.0927
2025-04-29,GBP,23.2721
2025-04-29,EUR,20.9481
2025-04-29,AUD,11.8324
2025-04-30,USD,18.3106
2025-04-30,GBP,23.3897
2025-04-30,EUR,20.9115
2025-04-30,AUD,11.8608
2025-05-01,USD,18.2423
2025-05-01,GBP,23.2931
2025-05-01,EUR,20.754
2025-05-01,AUD,11.9054
2025-05-02,USD,18.041
2025-05-02,GBP,23.3914
2025-05-02,EUR,20.9567
2025-05-02,AUD,11.7624
2025-05-03,USD,18.5438
2025-05-03,GBP,23.5435
2025-05-03,EUR,20.7219
2025-05-03,AUD,11.8701
2025-05-04,USD,18.2663
2025-05-04,GBP,23.3472
2025-05-04,EUR,20.7223
2025-05-04,AUD,11.7948
2025-05-05,USD,18.3497
2025-05-05,GBP,23.3803
2025-05-05,EUR,20.8793
2025-05-05,AUD,11.7913
2025-05-06,USD,18.2845
2025-05-06,GBP,23.6336
2025-05-06,EUR,20.8633
2025-05-06,AUD,11.8094
2025-05-07,USD,18.3401
2025-05-07,GBP,23.3647
2025-05-07,EUR,21.0058
2025-05-07,AUD,11.6923
2025-05-08,USD,18.0481
2025-05-08,GBP,23.7445
2025-05-08,EUR,21.1881
2025-05-08,AUD,11.6096
2025-05-09,USD,18.3237
2025-05-09,GBP,23.4069
2025-05-09,EUR,20.9195
2025-05-09,AUD,11.8439
2025-05-10,USD,18.1276
2025-05-10,GBP,23.1934
2025-05-10,EUR,21.1617
2025-05-10,AUD,11.7711
2025-05-11,USD,18.3078
2025-05-11,GBP,23.2088
2025-05-11,EUR,20.7868
2025-05-11,AUD,11.773
2025-05-12,USD,18.0964
2025-05-12,GBP,23.7954
2025-05-12,EUR,20.6095
2025-05-12,AUD,11.8126
2025-05-13,USD,18.0135
2025-05-13,GBP,23.3166
2025-05-13,EUR,20.9814
2025-05-13,AUD,11.7403
2025-05-14,USD,18.0412
2025-05-14,GBP,23.3309
2025-05-14,EUR,21.1188
2025-05-14,AUD,11.8783
2025-05-15,USD,18.1645
2025-05-15,GBP,23.3979
2025-05-15,EUR,20.8246
2025-05-15,AUD,11.6936
2025-05-16,USD,18.2136
2025-05-16,GBP,23.4562
2025-05-16,EUR,21.2087
2025-05-16,AUD,11.706
2025-05-17,USD,18.2615
2025-05-17,GBP,23.1145
2025-05-17,EUR,21.176
2025-05-17,AUD,12.0061
2025-05-18,USD,18.417
2025-05-18,GBP,23.2401
2025-05-18,EUR,20.8188
2025-05-18,AUD,11.6954
2025-05-19,USD,18.0545
2025-05-19,GBP,23.3855
2025-05-19,EUR,20.8527
2025-05-19,AUD,11.899
2025-05-20,USD,18.1463
2025-05-20,GBP,23.7228
2025-05-20,EUR,21.0175
2025-05-20,AUD,11.7088
2025-05-21,USD,18.4009
2025-05-21,GBP,23.4357
2025-05-21,EUR,20.6719
2025-05-21,AUD,11.7268
2025-05-22,USD,18.306
2025-05-22,GBP,23.2569
2025-05-22,EUR,20.7874
2025-05-22,AUD,11.708
2025-05-23,USD,18.0375
2025-05-23,GBP,23.6039
2025-05-23,EUR,21.226
2025-05-23,AUD,11.9477
2025-05-24,USD,18.3222
2025-05-24,GBP,23.3971
2025-05-24,EUR,20.858
2025-05-24,AUD,11.9017
2025-05-25,USD,18.1272
2025-05-25,GBP,23.2454
2025-05-25,EUR,21.04
2025-05-25,AUD,11.7458
2025-05-26,USD,18.1296
2025-05-26,GBP,23.479
2025-05-26,EUR,20.7587
2025-05-26,AUD,11.7691
2025-05-27,USD,18.3603
2025-05-27,GBP,23.4954
2025-05-27,EUR,20.9569
2025-05-27,AUD,11.7438
2025-05-28,USD,18.1615
2025-05-28,GBP,23.7787
2025-05-28,EUR,20.8357
2025-05-28,AUD,11.7697
2025-05-29,USD,18.1392
2025-05-29,GBP,23.4124
2025-05-29,EUR,20.8427
2025-05-29,AUD,11.7795
2025-05-30,USD,18.3037
2025-05-30,GBP,23.633
2025-05-30,EUR,20.8862
2025-05-30,AUD,11.6441
2025-05-31,USD,18.2287
2025-05-31,GBP,23.4424
2025-05-31,EUR,20.9182
2025-05-31,AUD,11.9251
2025-06-01,USD,18.1584
2025-06-01,GBP,23.2753
2025-06-01,EUR,20.8491
2025-06-01,AUD,11.7944
2025-06-02,USD,18.2525
2025-06-02,GBP,23.7047
2025-06-02,EUR,20.4934
2025-06-02,AUD,11.6625
2025-06-03,USD,18.1446
2025-06-03,GBP,23.3183
2025-06-03,EUR,20.6818
2025-06-03,AUD,11.7073
2025-06-04,USD,18.1182
2025-06-04,GBP,23.5674
2025-06-04,EUR,20.6943
2025-06-04,AUD,11.8269
2025-06-05,USD,18.3817
2025-06-05,GBP,23.6167
2025-06-05,EUR,20.8105
2025-06-05,AUD,11.9652
2025-06-06,USD,18.1228
2025-06-06,GBP,23.4836
2025-06-06,EUR,20.5218
2025-06-06,AUD,11.6904
2025-06-07,USD,18.2678
2025-06-07,GBP,23.265
2025-06-07,EUR,21.226
2025-06-07,AUD,11.7976
2025-06-08,USD,18.1477
2025-06-08,GBP,23.0228
2025-06-08,EUR,20.9576
2025-06-08,AUD,11.8808
2025-06-09,USD,18.1173
2025-06-09,GBP,23.378
2025-06-09,EUR,20.9709
2025-06-09,AUD,11.8909
2025-06-10,USD,18.0523
2025-06-10,GBP,23.671
2025-06-10,EUR,20.4754
2025-06-10,AUD,11.8214
2025-06-11,USD,18.1668
2025-06-11,GBP,23.2082
2025-06-11,EUR,20.7166
2025-06-11,AUD,11.9098
2025-06-12,USD,18.2474
2025-06-12,GBP,23.5728
2025-06-12,EUR,20.6684
2025-06-12,AUD,11.7711
2025-06-13,USD,18.2648
2025-06-13,GBP,23.367
2025-06-13,EUR,20.6199
2025-06-13,AUD,11.7903
2025-06-14,USD,18.2375
2025-06-14,GBP,23.4163
2025-06-14,EUR,20.9614
2025-06-14,AUD,11.8527
2025-06-15,USD,18.1838
2025-06-15,GBP,23.5694
2025-06-15,EUR,20.9155
2025-06-15,AUD,11.7163
2025-06-16,USD,18.2001
2025-06-16,GBP,23.3909
2025-06-16,EUR,20.8842
2025-06-16,AUD,11.7983
2025-06-17,USD,18.0756
2025-06-17,GBP,23.5595
2025-06-17,EUR,20.6106
2025-06-17,AUD,11.8076
2025-06-18,USD,18.2991
2025-06-18,GBP,23.4166
2025-06-18,EUR,20.8181
2025-06-18,AUD,11.7917
2025-06-19,USD,18.0343
2025-06-19,GBP,23.5657
2025-06-19,EUR,21.1045
2025-06-19,AUD,11.7295
2025-06-20,USD,18.1532
2025-06-20,GBP,23.4283
2025-06-20,EUR,20.9886
2025-06-20,AUD,11.8398
2025-06-21,USD,18.3277
2025-06-21,GBP,23.2274
2025-06-21,EUR,20.7273
2025-06-21,AUD,11.9392
2025-06-22,USD,18.0445
2025-06-22,GBP,23.1386
2025-06-22,EUR,20.8239
2025-06-22,AUD,11.7961
2025-06-23,USD,18.3751
2025-06-23,GBP,23.6204
2025-06-23,EUR,20.8228
2025-06-23,AUD,12.0035
2025-06-24,USD,18.3131
2025-06-24,GBP,23.6367
2025-06-24,EUR,20.6814
2025-06-24,AUD,11.7459
2025-06-25,USD,18.2439
2025-06-25,GBP,23.458
2025-06-25,EUR,20.8712
2025-06-25,AUD,11.7245
2025-06-26,USD,18.2453
2025-06-26,GBP,23.2088
2025-06-26,EUR,20.9855
2025-06-26,AUD,11.6965
2025-06-27,USD,18.1744
2025-06-27,GBP,23.303
2025-06-27,EUR,20.7061
2025-06-27,AUD,11.8372
2025-06-28,USD,18.2064
2025-06-28,GBP,23.5052
2025-06-28,EUR,20.9124
2025-06-28,AUD,11.8319
2025-06-29,USD,18.4407
2025-06-29,GBP,23.3717
2025-06-29,EUR,20.9716
2025-06-29,AUD,11.9704
2025-06-30,USD,18.3013
2025-06-30,GBP,23.2612
2025-06-30,EUR,20.8789
2025-06-30,AUD,11.7377
2025-07-01,USD,18.098
2025-07-01,GBP,23.3683
2025-07-01,EUR,20.9253
2025-07-01,AUD,11.8253
2025-07-02,USD,17.9958
2025-07-02,GBP,23.4145
2025-07-02,EUR,20.9217
2025-07-02,AUD,11.7523
2025-07-03,USD,18.031
2025-07-03,GBP,23.2795
2025-07-03,EUR,21.1645
2025-07-03,AUD,11.7803
2025-07-04,USD,18.1713
2025-07-04,GBP,23.3364
2025-07-04,EUR,21.0546
2025-07-04,AUD,11.6432
2025-07-05,USD,18.2886
2025-07-05,GBP,23.4136
2025-07-05,EUR,20.5268
2025-07-05,AUD,11.8364
2025-07-06,USD,18.0459
2025-07-06,GBP,23.1186
2025-07-06,EUR,21.0771
2025-07-06,AUD,11.9351
2025-07-07,USD,17.9841
2025-07-07,GBP,23.511
2025-07-07,EUR,21.0794
2025-07-07,AUD,12.0269
2025-07-08,USD,18.104
2025-07-08,GBP,23.3775
2025-07-08,EUR,20.6431
2025-07-08,AUD,11.959
2025-07-09,USD,18.1989
2025-07-09,GBP,23.2268
2025-07-09,EUR,21.106
2025-07-09,AUD,11.8262
2025-07-10,USD,18.2616
2025-07-10,GBP,23.5069
2025-07-10,EUR,21.0717
2025-07-10,AUD,11.8879
2025-07-11,USD,18.4772
2025-07-11,GBP,23.6491
2025-07-11,EUR,20.979
2025-07-11,AUD,11.6928
2025-07-12,USD,18.3583
2025-07-12,GBP,23.2361
2025-07-12,EUR,21.0334
2025-07-12,AUD,11.8515
2025-07-13,USD,17.9771
2025-07-13,GBP,23.1053
2025-07-13,EUR,21.058
2025-07-13,AUD,11.6593
2025-07-14,USD,18.0635
2025-07-14,GBP,23.3803
2025-07-14,EUR,20.5058
2025-07-14,AUD,11.7785
2025-07-15,USD,18.3967
2025-07-15,GBP,23.6208
2025-07-15,EUR,20.9659
2025-07-15,AUD,11.8136
2025-07-16,USD,18.226
2025-07-16,GBP,23.5808
2025-07-16,EUR,20.838
2025-07-16,AUD,11.8505
2025-07-17,USD,18.1056
2025-07-17,GBP,23.4167
2025-07-17,EUR,20.9814
2025-07-17,AUD,11.8345
2025-07-18,USD,18.1231
2025-07-18,GBP,23.467
2025-07-18,EUR,20.9077
2025-07-18,AUD,11.8206
2025-07-19,USD,18.0758
2025-07-19,GBP,23.2538
2025-07-19,EUR,20.6742
2025-07-19,AUD,11.7307
2025-07-20,USD,18.1937
2025-07-20,GBP,23.176
2025-07-20,EUR,20.8714
2025-07-20,AUD,11.8151
2025-07-21,USD,18.1537
2025-07-21,GBP,23.5696
2025-07-21,EUR,21.0333
2025-07-21,AUD,11.5518
2025-07-22,USD,18.0972
2025-07-22,GBP,23.4072
2025-07-22,EUR,20.996
2025-07-22,AUD,11.9085
2025-07-23,USD,18.3001
2025-07-23,GBP,23.7151
2025-07-23,EUR,20.9235
2025-07-23,AUD,11.7553
2025-07-24,USD,18.378
2025-07-24,GBP,23.3141
2025-07-24,EUR,20.9596
2025-07-24,AUD,11.8793
2025-07-25,USD,18.3069
2025-07-25,GBP,23.3661
2025-07-25,EUR,21.2644
2025-07-25,AUD,11.7889
2025-07-26,USD,18.2768
2025-07-26,GBP,23.4552
2025-07-26,EUR,21.1729
2025-07-26,AUD,11.8401
2025-07-27,USD,18.2858
2025-07-27,GBP,23.2915
2025-07-27,EUR,20.7812
2025-07-27,AUD,11.7249
2025-07-28,USD,18.0472
2025-07-28,GBP,23.3375
2025-07-28,EUR,20.9328
2025-07-28,AUD,11.7775
2025-07-29,USD,18.064
2025-07-29,GBP,23.3475
2025-07-29,EUR,20.6426
2025-07-29,AUD,11.8368
2025-07-30,USD,18.2719
2025-07-30,GBP,23.7011
2025-07-30,EUR,20.5543
2025-07-30,AUD,11.6396
2025-07-31,USD,18.1982
2025-07-31,GBP,23.685
2025-07-31,EUR,20.9419
2025-07-31,AUD,11.8928
2025-08-01,USD,18.0975
2025-08-01,GBP,23.2617
2025-08-01,EUR,20.8337
2025-08-01,AUD,11.9405
2025-08-02,USD,18.0031
2025-08-02,GBP,23.2966
2025-08-02,EUR,20.9353
2025-08-02,AUD,11.6443
2025-08-03,USD,18.142
2025-08-03,GBP,23.43
2025-08-03,EUR,20.9453
2025-08-03,AUD,11.9211
2025-08-04,USD,17.9813
2025-08-04,GBP,23.4251
2025-08-04,EUR,20.9915
2025-08-04,AUD,11.7712
2025-08-05,USD,18.2939
2025-08-05,GBP,23.2744
2025-08-05,EUR,21.218
2025-08-05,AUD,11.7427
2025-08-06,USD,18.1119
2025-08-06,GBP,23.3975
2025-08-06,EUR,20.8848
2025-08-06,AUD,11.8369
2025-08-07,USD,18.0845
2025-08-07,GBP,23.2889
2025-08-07,EUR,20.8307
2025-08-07,AUD,11.6785
2025-08-08,USD,18.2147
2025-08-08,GBP,23.3851
2025-08-08,EUR,21.1328
2025-08-08,AUD,11.8077
2025-08-09,USD,18.5713
2025-08-09,GBP,23.3572
2025-08-09,EUR,21.2185
2025-08-09,AUD,11.6636
2025-08-10,USD,18.1974
2025-08-10,GBP,23.2469
2025-08-10,EUR,21.0718
2025-08-10,AUD,11.6747
2025-08-11,USD,18.0809
2025-08-11,GBP,23.7364
2025-08-11,EUR,21.1399
2025-08-11,AUD,11.8363
