,vehicle_id,vehicle_type,vehicle_age_years,capacity_kg,fuel_type,maintenance_score,current_mileage_km
41,V000042,Heavy Truck,9,20000,Diesel,89.95,186460.0
42,V000043,Light Truck,5,3500,Diesel,76.62,133681.0
43,V000044,Motorbike,14,50,Petrol,97.97,173558.0
44,V000045,Medium Truck,5,8000,Diesel,77.97,171937.0
45,V000046,Medium Truck,13,8000,Diesel,74.39,172949.0
46,V000047,Light Truck,3,3500,Diesel,81.17,148189.0
47,V000048,Medium Truck,5,8000,Diesel,72.87,99785.0
48,V000049,Light Truck,6,3500,Diesel,100.0,206961.0
49,V000050,Van,9,1000,Petrol,100.0,138084.0
50,V000051,Medium Truck,11,8000,Diesel,80.97,233773.0
51,V000052,Medium Truck,6,8000,Diesel,81.57,161345.0
52,V000053,Light Truck,4,3500,Diesel,73.21,173017.0
53,V000054,Light Truck,4,3500,Diesel,72.89,270545.0
54,V000055,Heavy Truck,8,20000,Diesel,63.62,224533.0
55,V000056,Light Truck,4,3500,Diesel,78.55,213582.0
56,V000057,Medium Truck,6,8000,Diesel,47.21,138811.0
57,V000058,Light Truck,11,3500,Diesel,74.28,414012.0
58,V000059,Van,5,1000,Petrol,54.72,110932.0
59,V000060,Heavy Truck,1,20000,Diesel,70.31,227631.0
60,V000061,Medium Truck,11,8000,Diesel,65.0,97405.0
61,V000062,Light Truck,14,3500,Diesel,79.04,1000.0
62,V000063,Van,0,1000,Petrol,98.02,124253.0
63,V000064,Heavy Truck,6,20000,Diesel,84.56,304829.0
64,V000065,Light Truck,5,3500,Diesel,80.31,159038.0
65,V000066,Van,2,1000,Petrol,83.77,318904.0
66,V000067,Medium Truck,8,8000,Diesel,76.19,347203.0
67,V000068,Medium Truck,13,8000,Diesel,77.97,56026.0
68,V000069,Van,2,1000,Petrol,81.39,214911.0
69,V000070,Van,8,1000,Petrol,92.87,345812.0
70,V000071,Medium Truck,13,8000,Diesel,70.78,244649.0
71,V000072,Medium Truck,11,8000,Diesel,84.57,251008.0
72,V000073,Heavy Truck,4,20000,Diesel,79.32,137244.0
73,V000074,Medium Truck,2,8000,Diesel,76.69,188648.0
74,V000075,Van,8,1000,Petrol,79.92,143893.0
75,V000076,Van,4,1000,Petrol,63.48,268222.0
76,V000077,Van,4,1000,Petrol,75.07,188111.0
77,V000078,Medium Truck,4,8000,Diesel,92.16,184972.0
78,V000079,Medium Truck,4,8000,Diesel,93.06,108931.0
79,V000080,Van,0,1000,Petrol,85.88,105718.0
80,V000081,Light Truck,14,3500,Diesel,82.96,107551.0
81,V000082,Medium Truck,10,8000,Diesel,65.19,225963.0
82,V000083,Motorbike,11,50,Petrol,78.69,249755.0
83,V000084,Light Truck,0,3500,Diesel,76.69,118474.0
84,V000085,Medium Truck,4,8000,Diesel,71.47,193212.0
85,V000086,Light Truck,11,3500,Diesel,90.03,127477.0
86,V000087,Medium Truck,9,8000,Diesel,78.02,166021.0
87,V000088,Heavy Truck,9,20000,Diesel,84.64,277522.0
88,V000089,Light Truck,7,3500,Diesel,84.02,37880.0
89,V000090,Medium Truck,8,8000,Diesel,100.0,204006.0
90,V000091,Van,12,1000,Petrol,100.0,175433.0
91,V000092,Van,7,1000,Petrol,88.33,173040.0
92,V000093,Light Truck,7,3500,Diesel,83.88,145058.0
93,V000094,Van,9,1000,Petrol,81.15,98742.0
94,V000095,Heavy Truck,13,20000,Diesel,97.57,206845.0
95,V000096,Light Truck,11,3500,Diesel,85.53,76240.0
96,V000097,Medium Truck,13,8000,Diesel,66.28,67231.0
97,V000098,Medium Truck,6,8000,Diesel,84.95,132456.0
98,V000099,Light Truck,0,3500,Diesel,75.83,195813.0
99,V000100,Motorbike,11,50,Petrol,80.89,198274.0
100,V000101,Light Truck,12,3500,Diesel,75.25,73702.0
101,V000102,Van,12,1000,Petrol,87.99,317337.0
102,V000103,Light Truck,2,3500,Diesel,80.12,307325.0
103,V000104,Light Truck,13,3500,Diesel,94.02,304662.0
104,V000105,Van,10,1000,Petrol,96.11,165184.0
105,V000106,Medium Truck,10,8000,Diesel,83.9,325697.0
106,V000107,Medium Truck,3,8000,Diesel,77.22,300426.0
107,V000108,Heavy Truck,12,20000,Diesel,96.93,155373.0
108,V000109,Medium Truck,2,8000,Diesel,88.38,320786.0
109,V000110,Medium Truck,14,8000,Diesel,100.0,72396.0
110,V000111,Medium Truck,0,8000,Diesel,79.57,59982.0
111,V000112,Light Truck,6,3500,Diesel,90.03,297258.0
112,V000113,Heavy Truck,4,20000,Diesel,86.07,110159.0
113,V000114,Medium Truck,5,8000,Diesel,87.72,233578.0
114,V000115,Light Truck,6,3500,Diesel,77.97,64895.0
115,V000116,Medium Truck,12,8000,Diesel,76.24,152734.0
116,V000117,Heavy Truck,5,20000,Diesel,75.71,133276.0
117,V000118,Light Truck,12,3500,Diesel,78.97,86743.0
118,V000119,Heavy Truck,1,20000,Diesel,84.21,155013.0
119,V000120,Van,1,1000,Petrol,90.8,146872.0
120,V000121,Medium Truck,8,8000,Diesel,83.54,264272.0
121,V000122,Light Truck,6,3500,Diesel,97.36,22241.0
122,V000123,Medium Truck,4,8000,Diesel,94.41,235033.0
123,V000124,Van,12,1000,Petrol,69.22,23316.0
124,V000125,Van,4,1000,Petrol,81.14,92750.0
125,V000126,Medium Truck,5,8000,Diesel,77.63,292505.0
126,V000127,Van,7,1000,Petrol,94.0,42442.0
127,V000128,Van,9,1000,Petrol,66.26,301026.0
128,V000129,Motorbike,10,50,Petrol,76.49,109067.0
129,V000130,Van,6,1000,Petrol,98.36,238925.0
130,V000131,Medium Truck,9,8000,Diesel,100.0,173126.0
131,V000132,Medium Truck,14,8000,Diesel,58.07,195930.0
132,V000133,Light Truck,14,3500,Diesel,79.94,324713.0
133,V000134,Light Truck,3,3500,Diesel,71.91,166498.0
134,V000135,Light Truck,4,3500,Diesel,94.76,90100.0
135,V000136,Van,10,1000,Petrol,100.0,320567.0
136,V000137,Van,10,1000,Petrol,93.95,41945.0
137,V000138,Van,3,1000,Petrol,100.0,274457.0
138,V000139,Motorbike,14,50,Petrol,68.62,124503.0
139,V000140,Heavy Truck,1,20000,Diesel,63.92,99411.0
140,V000141,Medium Truck,12,8000,Diesel,74.3,50762.0
141,V000142,Van,11,1000,Petrol,89.1,175385.0
142,V000143,Van,2,1000,Petrol,86.92,111670.0
143,V000144,Medium Truck,9,8000,Diesel,77.1,188163.0
144,V000145,Van,11,1000,Petrol,79.35,36979.0
145,V000146,Heavy Truck,5,20000,Diesel,96.75,255054.0
146,V000147,Van,7,1000,Petrol,67.2,162447.0
147,V000148,Van,7,1000,Petrol,91.58,259732.0
148,V000149,Medium Truck,1,8000,Diesel,76.19,282109.0
149,V000150,Medium Truck,2,8000,Diesel,86.36,221434.0
150,V000151,Medium Truck,1,8000,Diesel,90.51,153846.0
151,V000152,Light Truck,6,3500,Diesel,100.0,176838.0
152,V000153,Light Truck,11,3500,Diesel,92.26,147657.0
153,V000154,Van,6,1000,Petrol,71.94,125274.0
154,V000155,Van,8,1000,Petrol,71.46,226682.0
155,V000156,Van,4,1000,Petrol,79.27,93520.0
156,V000157,Medium Truck,6,8000,Diesel,92.17,137341.0
157,V000158,Heavy Truck,10,20000,Diesel,81.76,157000.0
158,V000159,Motorbike,13,50,Petrol,67.96,267691.0
159,V000160,Medium Truck,13,8000,Diesel,75.3,170902.0
160,V000161,Heavy Truck,7,20000,Diesel,84.81,235551.0
161,V000162,Van,10,1000,Petrol,86.53,232988.0
162,V000163,Light Truck,4,3500,Diesel,79.57,36908.0
163,V000164,Medium Truck,4,8000,Diesel,47.02,263186.0
164,V000165,Motorbike,8,50,Petrol,82.22,205870.0
165,V000166,Light Truck,14,3500,Diesel,83.47,175092.0
166,V000167,Medium Truck,10,8000,Diesel,78.61,117304.0
167,V000168,Light Truck,1,3500,Diesel,73.48,184019.0
168,V000169,Heavy Truck,0,20000,Diesel,84.62,241028.0
169,V000170,Van,2,1000,Petrol,85.9,381192.0
170,V000171,Motorbike,2,50,Petrol,100.0,253769.0
171,V000172,Van,5,1000,Petrol,77.75,238045.0
172,V000173,Van,0,1000,Petrol,79.03,81417.0
173,V000174,Light Truck,7,3500,Diesel,75.66,51642.0
174,V000175,Light Truck,9,3500,Diesel,83.07,107555.0
175,V000176,Heavy Truck,9,20000,Diesel,62.19,129685.0
176,V000177,Van,13,1000,Petrol,92.02,235734.0
177,V000178,Medium Truck,1,8000,Diesel,81.83,67715.0
178,V000179,Heavy Truck,13,20000,Diesel,99.89,53283.0
179,V000180,Heavy Truck,4,20000,Diesel,71.25,129597.0
180,V000181,Motorbike,7,50,Petrol,89.99,243967.0
181,V000182,Medium Truck,7,8000,Diesel,80.66,131201.0
182,V000183,Van,9,1000,Petrol,83.38,273338.0
183,V000184,Van,2,1000,Petrol,56.65,267542.0
184,V000185,Light Truck,11,3500,Diesel,87.2,210388.0
185,V000186,Medium Truck,10,8000,Diesel,97.36,171157.0
186,V000187,Van,10,1000,Petrol,67.1,206420.0
187,V000188,Light Truck,14,3500,Diesel,69.89,166329.0
188,V000189,Light Truck,6,3500,Diesel,77.58,121500.0
189,V000190,Medium Truck,2,8000,Diesel,72.39,131576.0
190,V000191,Motorbike,3,50,Petrol,67.78,126748.0
191,V000192,Heavy Truck,12,20000,Diesel,80.55,332938.0
192,V000193,Light Truck,14,3500,Diesel,74.69,236205.0
193,V000194,Medium Truck,7,8000,Diesel,76.79,186564.0
194,V000195,Van,0,1000,Petrol,94.8,63898.0
195,V000196,Van,0,1000,Petrol,83.79,197126.0
196,V000197,Medium Truck,5,8000,Diesel,77.75,220061.0
197,V000198,Medium Truck,6,8000,Diesel,88.05,109862.0
198,V000199,Medium Truck,4,8000,Diesel,94.72,19604.0
199,V000200,Van,6,1000,Petrol,99.67,99963.0
200,V000201,Light Truck,4,3500,Diesel,72.62,21229.0
201,V000202,Light Truck,6,3500,Diesel,83.75,222840.0
202,V000203,Medium Truck,4,8000,Diesel,67.18,109814.0
203,V000204,Light Truck,6,3500,Diesel,63.89,196677.0
204,V000205,Motorbike,13,50,Petrol,74.83,171383.0
205,V000206,Medium Truck,6,8000,Diesel,76.6,222123.0
206,V000207,Light Truck,2,3500,Diesel,88.15,183400.0
207,V000208,Heavy Truck,3,20000,Diesel,76.79,200557.0
208,V000209,Light Truck,12,3500,Diesel,100.0,187608.0
209,V000210,Van,8,1000,Petrol,81.59,227932.0
210,V000211,Medium Truck,12,8000,Diesel,87.12,1000.0
211,V000212,Light Truck,1,3500,Diesel,87.8,114141.0
212,V000213,Medium Truck,14,8000,Diesel,92.24,290889.0
213,V000214,Light Truck,2,3500,Diesel,68.46,248458.0
214,V000215,Light Truck,10,3500,Diesel,80.77,7996.0
215,V000216,Heavy Truck,8,20000,Diesel,95.48,155812.0
216,V000217,Motorbike,2,50,Petrol,89.09,87741.0
217,V000218,Heavy Truck,13,20000,Diesel,87.36,194191.0
218,V000219,Light Truck,12,3500,Diesel,75.13,266834.0
219,V000220,Light Truck,8,3500,Diesel,76.41,101468.0
220,V000221,Light Truck,9,3500,Diesel,83.57,300592.0
221,V000222,Light Truck,6,3500,Diesel,80.74,119282.0
222,V000223,Light Truck,8,3500,Diesel,66.08,168371.0
223,V000224,Medium Truck,13,8000,Diesel,87.29,114720.0
224,V000225,Heavy Truck,13,20000,Diesel,87.83,252831.0
225,V000226,Van,9,1000,Petrol,100.0,174989.0
226,V000227,Van,2,1000,Petrol,76.05,268858.0
227,V000228,Light Truck,13,3500,Diesel,82.06,72734.0
228,V000229,Van,5,1000,Petrol,56.97,118820.0
229,V000230,Van,7,1000,Petrol,77.79,200405.0
230,V000231,Medium Truck,4,8000,Diesel,68.63,226735.0
231,V000232,Heavy Truck,3,20000,Diesel,75.2,289682.0
232,V000233,Medium Truck,3,8000,Diesel,80.31,167056.0
233,V000234,Motorbike,2,50,Petrol,86.24,193592.0
234,V000235,Van,12,1000,Petrol,92.16,216832.0
235,V000236,Heavy Truck,10,20000,Diesel,96.09,77649.0
236,V000237,Medium Truck,1,8000,Diesel,95.79,147932.0
237,V000238,Medium Truck,5,8000,Diesel,91.05,146919.0
238,V000239,Van,2,1000,Petrol,96.61,130230.0
239,V000240,Van,1,1000,Petrol,100.0,167737.0
240,V000241,Medium Truck,2,8000,Diesel,67.45,258723.0
241,V000242,Light Truck,6,3500,Diesel,99.49,217575.0
242,V000243,Van,10,1000,Petrol,67.15,194901.0
243,V000244,Light Truck,8,3500,Diesel,100.0,303966.0
244,V000245,Medium Truck,9,8000,Diesel,94.23,158491.0
245,V000246,Light Truck,14,3500,Diesel,83.14,57552.0
246,V000247,Van,8,1000,Petrol,74.67,255455.0
247,V000248,Medium Truck,8,8000,Diesel,72.64,203938.0
248,V000249,Motorbike,4,50,Petrol,62.36,119798.0
249,V000250,Medium Truck,4,8000,Diesel,89.13,229946.0
250,V000251,Medium Truck,14,8000,Diesel,94.21,167254.0
251,V000252,Heavy Truck,8,20000,Diesel,51.09,135778.0
252,V000253,Heavy Truck,0,20000,Diesel,94.32,95852.0
253,V000254,Light Truck,9,3500,Diesel,85.87,1000.0
254,V000255,Medium Truck,4,8000,Diesel,88.33,157623.0
255,V000256,Van,1,1000,Petrol,79.02,140346.0
256,V000257,Heavy Truck,5,20000,Diesel,89.82,306182.0
257,V000258,Medium Truck,8,8000,Diesel,60.46,241961.0
258,V000259,Light Truck,7,3500,Diesel,85.25,235177.0
259,V000260,Van,10,1000,Petrol,77.38,237771.0
260,V000261,Light Truck,10,3500,Diesel,85.29,85505.0
261,V000262,Van,6,1000,Petrol,83.0,222913.0
262,V000263,Light Truck,1,3500,Diesel,88.94,243999.0
263,V000264,Heavy Truck,9,20000,Diesel,82.81,145524.0
264,V000265,Van,5,1000,Petrol,90.62,58687.0
265,V000266,Medium Truck,1,8000,Diesel,79.3,300848.0
266,V000267,Medium Truck,0,8000,Diesel,72.72,234449.0
267,V000268,Light Truck,13,3500,Diesel,63.33,321699.0
268,V000269,Medium Truck,8,8000,Diesel,79.18,285650.0
269,V000270,Van,3,1000,Petrol,78.98,418470.0
270,V000271,Van,6,1000,Petrol,80.19,99653.0
271,V000272,Medium Truck,1,8000,Diesel,86.08,234276.0
272,V000273,Van,7,1000,Petrol,75.79,175171.0
273,V000274,Van,13,1000,Petrol,70.57,18357.0
274,V000275,Van,6,1000,Petrol,93.51,1000.0
275,V000276,Van,11,1000,Petrol,65.47,265072.0
276,V000277,Van,8,1000,Petrol,84.11,101481.0
277,V000278,Van,8,1000,Petrol,85.56,197824.0
278,V000279,Van,14,1000,Petrol,91.34,250258.0
279,V000280,Medium Truck,14,8000,Diesel,72.73,154104.0
280,V000281,Van,4,1000,Petrol,81.85,181622.0
281,V000282,Van,5,1000,Petrol,77.04,311520.0
282,V000283,Van,2,1000,Petrol,82.16,81033.0
283,V000284,Light Truck,11,3500,Diesel,75.49,115194.0
284,V000285,Light Truck,4,3500,Diesel,85.87,222156.0
285,V000286,Van,1,1000,Petrol,86.32,142522.0
286,V000287,Motorbike,13,50,Petrol,100.0,82280.0
287,V000288,Van,1,1000,Petrol,100.0,201462.0
288,V000289,Medium Truck,3,8000,Diesel,99.04,166500.0
289,V000290,Light Truck,1,3500,Diesel,83.81,244551.0
290,V000291,Van,0,1000,Petrol,90.09,39370.0
291,V000292,Light Truck,14,3500,Diesel,82.22,47232.0
292,V000293,Motorbike,8,50,Petrol,91.34,193183.0
293,V000294,Van,8,1000,Petrol,71.66,252277.0
294,V000295,Van,0,1000,Petrol,82.12,340007.0
295,V000296,Medium Truck,13,8000,Diesel,97.91,222189.0
296,V000297,Van,3,1000,Petrol,85.54,317743.0
297,V000298,Heavy Truck,0,20000,Diesel,93.47,357811.0
298,V000299,Medium Truck,4,8000,Diesel,75.22,145464.0
299,V000300,Light Truck,13,3500,Diesel,82.52,214797.0
300,V000301,Light Truck,4,3500,Diesel,80.07,100352.0
301,V000302,Van,3,1000,Petrol,78.11,21000.0
302,V000303,Light Truck,10,3500,Diesel,94.87,184882.0
303,V000304,Heavy Truck,6,20000,Diesel,93.09,138834.0
304,V000305,Van,11,1000,Petrol,61.37,198335.0
305,V000306,Van,3,1000,Petrol,89.5,196606.0
306,V000307,Medium Truck,3,8000,Diesel,80.09,147367.0
307,V000308,Medium Truck,0,8000,Diesel,100.0,155216.0
308,V000309,Light Truck,14,3500,Diesel,88.93,124068.0
309,V000310,Medium Truck,9,8000,Diesel,91.05,243680.0
310,V000311,Medium Truck,11,8000,Diesel,96.22,251191.0
311,V000312,Van,14,1000,Petrol,82.33,155586.0
312,V000313,Light Truck,9,3500,Diesel,67.82,217590.0
313,V000314,Van,13,1000,Petrol,99.12,223626.0
314,V000315,Heavy Truck,14,20000,Diesel,89.78,346379.0
315,V000316,Light Truck,3,3500,Diesel,71.66,115897.0
316,V000317,Van,9,1000,Petrol,86.82,294373.0
317,V000318,Van,12,1000,Petrol,83.4,117734.0
318,V000319,Medium Truck,1,8000,Diesel,94.4,319425.0
319,V000320,Light Truck,14,3500,Diesel,100.0,118111.0
320,V000321,Medium Truck,8,8000,Diesel,87.12,247705.0
321,V000322,Light Truck,0,3500,Diesel,82.18,216713.0
322,V000323,Light Truck,0,3500,Diesel,75.52,257323.0
323,V000324,Van,1,1000,Petrol,78.98,80315.0
324,V000325,Van,2,1000,Petrol,82.21,257969.0
325,V000326,Medium Truck,11,8000,Diesel,60.28,309048.0
326,V000327,Medium Truck,5,8000,Diesel,100.0,138778.0
327,V000328,Medium Truck,9,8000,Diesel,95.84,3107.0
328,V000329,Medium Truck,14,8000,Diesel,93.09,156075.0
329,V000330,Heavy Truck,6,20000,Diesel,69.67,171878.0
330,V000331,Medium Truck,14,8000,Diesel,75.34,63871.0
331,V000332,Medium Truck,1,8000,Diesel,49.23,1000.0
332,V000333,Van,2,1000,Petrol,77.97,341739.0
333,V000334,Medium Truck,12,8000,Diesel,84.4,169401.0
334,V000335,Motorbike,1,50,Petrol,63.16,86709.0
335,V000336,Light Truck,8,3500,Diesel,100.0,252835.0
336,V000337,Motorbike,5,50,Petrol,72.46,213578.0
337,V000338,Medium Truck,7,8000,Diesel,88.05,128511.0
338,V000339,Light Truck,14,3500,Diesel,97.12,225902.0
339,V000340,Van,13,1000,Petrol,85.95,58316.0
340,V000341,Van,14,1000,Petrol,100.0,272317.0
341,V000342,Heavy Truck,12,20000,Diesel,69.06,332459.0
342,V000343,Van,4,1000,Petrol,78.46,140159.0
343,V000344,Light Truck,4,3500,Diesel,91.09,28993.0
344,V000345,Medium Truck,2,8000,Diesel,84.4,192785.0
345,V000346,Van,6,1000,Petrol,73.58,56345.0
346,V000347,Light Truck,14,3500,Diesel,71.69,285019.0
347,V000348,Light Truck,9,3500,Diesel,63.27,13055.0
348,V000349,Light Truck,2,3500,Diesel,86.98,300511.0
349,V000350,Medium Truck,6,8000,Diesel,75.77,25133.0
350,V000351,Motorbike,14,50,Petrol,100.0,183575.0
351,V000352,Medium Truck,10,8000,Diesel,80.89,177415.0
352,V000353,Van,8,1000,Petrol,46.23,21541.0
353,V000354,Medium Truck,1,8000,Diesel,90.42,263545.0
354,V000355,Medium Truck,11,8000,Diesel,70.66,151754.0
355,V000356,Medium Truck,1,8000,Diesel,84.44,243054.0
356,V000357,Van,3,1000,Petrol,88.2,110857.0
357,V000358,Light Truck,13,3500,Diesel,94.06,129771.0
358,V000359,Van,9,1000,Petrol,93.31,115111.0
359,V000360,Medium Truck,5,8000,Diesel,97.11,206377.0
360,V000361,Medium Truck,4,8000,Diesel,73.42,193586.0
361,V000362,Van,3,1000,Petrol,98.72,189981.0
362,V000363,Van,10,1000,Petrol,88.55,98680.0
363,V000364,Light Truck,5,3500,Diesel,76.78,222975.0
364,V000365,Van,7,1000,Petrol,85.79,205776.0
365,V000366,Van,4,1000,Petrol,96.27,297785.0
366,V000367,Light Truck,8,3500,Diesel,85.82,178118.0
367,V000368,Van,6,1000,Petrol,92.68,231520.0
368,V000369,Light Truck,6,3500,Diesel,95.58,142479.0
369,V000370,Heavy Truck,1,20000,Diesel,82.08,223035.0
370,V000371,Van,5,1000,Petrol,86.52,194274.0
371,V000372,Medium Truck,9,8000,Diesel,81.99,80057.0
372,V000373,Light Truck,6,3500,Diesel,66.94,184835.0
373,V000374,Van,9,1000,Petrol,99.62,320111.0
374,V000375,Light Truck,2,3500,Diesel,62.41,336110.0
375,V000376,Van,6,1000,Petrol,72.86,89101.0
376,V000377,Van,14,1000,Petrol,86.27,300216.0
377,V000378,Van,14,1000,Petrol,74.59,161834.0
378,V000379,Van,7,1000,Petrol,66.9,352928.0
379,V000380,Light Truck,11,3500,Diesel,85.79,262070.0
380,V000381,Van,7,1000,Petrol,79.06,164290.0
381,V000382,Light Truck,2,3500,Diesel,81.3,148374.0
382,V000383,Van,8,1000,Petrol,100.0,187548.0
383,V000384,Medium Truck,2,8000,Diesel,87.95,242025.0
384,V000385,Heavy Truck,5,20000,Diesel,92.97,273896.0
385,V000386,Motorbike,3,50,Petrol,88.03,208409.0
386,V000387,Light Truck,0,3500,Diesel,71.17,198124.0
387,V000388,Light Truck,14,3500,Diesel,54.75,264768.0
388,V000389,Motorbike,3,50,Petrol,100.0,275998.0
389,V000390,Heavy Truck,8,20000,Diesel,78.73,261054.0
390,V000391,Van,1,1000,Petrol,64.77,321052.0
391,V000392,Medium Truck,3,8000,Diesel,94.93,84600.0
392,V000393,Van,1,1000,Petrol,81.59,195345.0
393,V000394,Light Truck,14,3500,Diesel,77.46,176573.0
394,V000395,Van,12,1000,Petrol,74.42,69133.0
395,V000396,Light Truck,0,3500,Diesel,81.38,173423.0
396,V000397,Van,14,1000,Petrol,75.56,103169.0
397,V000398,Heavy Truck,11,20000,Diesel,68.86,220075.0
398,V000399,Light Truck,13,3500,Diesel,82.4,116898.0
399,V000400,Van,4,1000,Petrol,93.23,209555.0
400,V000401,Motorbike,3,50,Petrol,66.08,158872.0
401,V000402,Medium Truck,11,8000,Diesel,69.62,92729.0
402,V000403,Light Truck,10,3500,Diesel,86.95,290632.0
403,V000404,Light Truck,10,3500,Diesel,93.81,165350.0
404,V000405,Van,5,1000,Petrol,85.77,90589.0
405,V000406,Light Truck,2,3500,Diesel,85.52,106354.0
406,V000407,Light Truck,9,3500,Diesel,100.0,265014.0
407,V000408,Medium Truck,13,8000,Diesel,92.41,166408.0
408,V000409,Light Truck,7,3500,Diesel,70.01,294873.0
409,V000410,Light Truck,4,3500,Diesel,90.77,266297.0
410,V000411,Heavy Truck,11,20000,Diesel,78.28,196856.0
411,V000412,Heavy Truck,0,20000,Diesel,100.0,139142.0
412,V000413,Van,12,1000,Petrol,100.0,49911.0
413,V000414,Medium Truck,3,8000,Diesel,91.15,259233.0
414,V000415,Medium Truck,8,8000,Diesel,72.01,148904.0
415,V000416,Medium Truck,10,8000,Diesel,79.6,260710.0
416,V000417,Van,2,1000,Petrol,63.1,187694.0
417,V000418,Light Truck,8,3500,Diesel,94.13,162071.0
418,V000419,Medium Truck,4,8000,Diesel,82.61,108576.0
419,V000420,Van,0,1000,Petrol,99.71,150063.0
420,V000421,Heavy Truck,8,20000,Diesel,80.99,109889.0
421,V000422,Van,13,1000,Petrol,82.49,68404.0
422,V000423,Medium Truck,14,8000,Diesel,70.98,117067.0
423,V000424,Medium Truck,8,8000,Diesel,78.19,206500.0
424,V000425,Light Truck,14,3500,Diesel,98.61,344951.0
425,V000426,Heavy Truck,0,20000,Diesel,51.51,235004.0
426,V000427,Van,10,1000,Petrol,96.25,222345.0
427,V000428,Light Truck,10,3500,Diesel,100.0,120629.0
428,V000429,Van,14,1000,Petrol,96.69,318102.0
429,V000430,Van,6,1000,Petrol,69.0,156424.0
430,V000431,Van,2,1000,Petrol,100.0,107483.0
431,V000432,Light Truck,10,3500,Diesel,89.38,208913.0
432,V000433,Van,4,1000,Petrol,52.83,229760.0
433,V000434,Light Truck,7,3500,Diesel,92.34,225601.0
434,V000435,Heavy Truck,4,20000,Diesel,84.19,157090.0
435,V000436,Heavy Truck,6,20000,Diesel,98.59,175293.0
436,V000437,Light Truck,14,3500,Diesel,80.9,261511.0
437,V000438,Light Truck,0,3500,Diesel,83.11,199743.0
438,V000439,Van,6,1000,Petrol,68.81,266295.0
439,V000440,Van,3,1000,Petrol,75.98,134241.0
440,V000441,Heavy Truck,12,20000,Diesel,72.32,166022.0
441,V000442,Van,6,1000,Petrol,65.03,150200.0
442,V000443,Light Truck,4,3500,Diesel,95.66,207728.0
443,V000444,Van,3,1000,Petrol,83.49,158293.0
444,V000445,Light Truck,5,3500,Diesel,73.65,93842.0
445,V000446,Van,0,1000,Petrol,71.79,68373.0
446,V000447,Heavy Truck,2,20000,Diesel,97.87,17448.0
447,V000448,Van,12,1000,Petrol,95.92,268023.0
448,V000449,Van,14,1000,Petrol,81.05,186384.0
449,V000450,Light Truck,5,3500,Diesel,65.65,237281.0
450,V000451,Medium Truck,11,8000,Diesel,94.38,271445.0
451,V000452,Van,7,1000,Petrol,92.16,153697.0
452,V000453,Medium Truck,3,8000,Diesel,88.56,350194.0
453,V000454,Light Truck,7,3500,Diesel,63.94,98376.0
454,V000455,Heavy Truck,9,20000,Diesel,76.18,341661.0
