,date,currency,zar_rate
181,2025-02-15,GBP,23.2771
182,2025-02-15,EUR,20.7964
183,2025-02-15,AUD,11.8182
184,2025-02-16,USD,18.2399
185,2025-02-16,GBP,23.4925
186,2025-02-16,EUR,20.9159
187,2025-02-16,AUD,11.7524
188,2025-02-17,USD,18.2758
189,2025-02-17,GBP,23.2897
190,2025-02-17,EUR,21.0286
191,2025-02-17,AUD,11.8374
192,2025-02-18,USD,18.1097
193,2025-02-18,GBP,23.4251
194,2025-02-18,EUR,21.0189
195,2025-02-18,AUD,11.8568
196,2025-02-19,USD,17.9985
197,2025-02-19,GBP,23.3319
198,2025-02-19,EUR,20.8988
199,2025-02-19,AUD,11.93
200,2025-02-20,USD,18.1286
201,2025-02-20,GBP,23.2994
202,2025-02-20,EUR,21.0741
203,2025-02-20,AUD,11.795
204,2025-02-21,USD,18.2191
205,2025-02-21,GBP,23.4836
206,2025-02-21,EUR,20.8102
207,2025-02-21,AUD,11.6405
208,2025-02-22,USD,18.2721
209,2025-02-22,GBP,23.3943
210,2025-02-22,EUR,20.9075
211,2025-02-22,AUD,11.6354
212,2025-02-23,USD,18.3784
213,2025-02-23,GBP,22.8246
214,2025-02-23,EUR,20.8238
215,2025-02-23,AUD,11.9288
216,2025-02-24,USD,18.0596
217,2025-02-24,GBP,23.6368
218,2025-02-24,EUR,20.6174
219,2025-02-24,AUD,11.8043
220,2025-02-25,USD,18.2263
221,2025-02-25,GBP,23.3306
222,2025-02-25,EUR,21.0387
223,2025-02-25,AUD,11.6711
224,2025-02-26,USD,18.1607
225,2025-02-26,GBP,23.3324
226,2025-02-26,EUR,20.8948
227,2025-02-26,AUD,11.5494
228,2025-02-27,USD,18.1432
229,2025-02-27,GBP,23.2558
230,2025-02-27,EUR,20.9075
231,2025-02-27,AUD,12.0199
232,2025-02-28,USD,17.9617
233,2025-02-28,GBP,23.4826
234,2025-02-28,EUR,20.8756
235,2025-02-28,AUD,11.8189
236,2025-03-01,USD,18.2666
237,2025-03-01,GBP,23.3243
238,2025-03-01,EUR,20.9426
239,2025-03-01,AUD,11.9333
240,2025-03-02,USD,18.4786
241,2025-03-02,GBP,23.7127
242,2025-03-02,EUR,21.0448
243,2025-03-02,AUD,11.7555
244,2025-03-03,USD,18.3302
245,2025-03-03,GBP,23.5509
246,2025-03-03,EUR,21.1922
247,2025-03-03,AUD,11.9641
248,2025-03-04,USD,18.2686
249,2025-03-04,GBP,23.6528
250,2025-03-04,EUR,20.8777
251,2025-03-04,AUD,11.7747
252,2025-03-05,USD,18.174
253,2025-03-05,GBP,23.351
254,2025-03-05,EUR,21.0063
255,2025-03-05,AUD,11.9222
256,2025-03-06,USD,18.0493
257,2025-03-06,GBP,23.2508
258,2025-03-06,EUR,20.8834
259,2025-03-06,AUD,11.8324
260,2025-03-07,USD,18.1697
261,2025-03-07,GBP,23.5132
262,2025-03-07,EUR,20.9967
263,2025-03-07,AUD,11.9915
264,2025-03-08,USD,18.2059
265,2025-03-08,GBP,23.7221
266,2025-03-08,EUR,20.8513
267,2025-03-08,AUD,12.0288
268,2025-03-09,USD,18.2329
269,2025-03-09,GBP,23.4722
270,2025-03-09,EUR,20.9757
271,2025-03-09,AUD,11.8789
272,2025-03-10,USD,18.1181
273,2025-03-10,GBP,23.386
274,2025-03-10,EUR,20.7108
275,2025-03-10,AUD,11.707
276,2025-03-11,USD,18.1944
277,2025-03-11,GBP,23.4862
278,2025-03-11,EUR,20.8876
279,2025-03-11,AUD,11.6277
280,2025-03-12,USD,18.3105
281,2025-03-12,GBP,23.612
282,2025-03-12,EUR,20.9269
283,2025-03-12,AUD,11.75
284,2025-03-13,USD,18.1752
285,2025-03-13,GBP,23.4627
286,2025-03-13,EUR,20.7841
287,2025-03-13,AUD,11.6955
288,2025-03-14,USD,18.2414
289,2025-03-14,GBP,23.5398
290,2025-03-14,EUR,21.0553
291,2025-03-14,AUD,11.7393
292,2025-03-15,USD,18.4315
293,2025-03-15,GBP,23.4029
294,2025-03-15,EUR,20.9853
295,2025-03-15,AUD,11.6924
296,2025-03-16,USD,18.1226
297,2025-03-16,GBP,23.0403
298,2025-03-16,EUR,20.9318
299,2025-03-16,AUD,11.7618
300,2025-03-17,USD,18.3493
301,2025-03-17,GBP,23.8167
302,2025-03-17,EUR,20.7304
303,2025-03-17,AUD,11.8523
304,2025-03-18,USD,18.3658
305,2025-03-18,GBP,23.6635
306,2025-03-18,EUR,21.0817
307,2025-03-18,AUD,11.7442
308,2025-03-19,USD,18.5783
309,2025-03-19,GBP,23.1704
310,2025-03-19,EUR,21.0213
311,2025-03-19,AUD,11.8887
312,2025-03-20,USD,18.0946
313,2025-03-20,GBP,23.2312
314,2025-03-20,EUR,20.7448
315,2025-03-20,AUD,11.8835
316,2025-03-21,USD,17.932
317,2025-03-21,GBP,23.2999
318,2025-03-21,EUR,20.7927
319,2025-03-21,AUD,11.7141
320,2025-03-22,USD,17.877
321,2025-03-22,GBP,23.3686
322,2025-03-22,EUR,20.5956
323,2025-03-22,AUD,11.6671
324,2025-03-23,USD,18.1912
325,2025-03-23,GBP,23.2865
326,2025-03-23,EUR,20.8648
327,2025-03-23,AUD,11.8398
328,2025-03-24,USD,18.091
329,2025-03-24,GBP,23.3108
330,2025-03-24,EUR,20.6572
331,2025-03-24,AUD,11.7573
332,2025-03-25,USD,18.0633
333,2025-03-25,GBP,23.4021
334,2025-03-25,EUR,20.9415
335,2025-03-25,AUD,11.8633
336,2025-03-26,USD,18.3561
337,2025-03-26,GBP,23.6035
338,2025-03-26,EUR,20.7469
339,2025-03-26,AUD,11.7673
340,2025-03-27,USD,18.3373
341,2025-03-27,GBP,23.5175
342,2025-03-27,EUR,20.9391
343,2025-03-27,AUD,11.8786
344,2025-03-28,USD,18.2582
345,2025-03-28,GBP,23.4552
346,2025-03-28,EUR,20.9816
347,2025-03-28,AUD,11.7392
348,2025-03-29,USD,18.0909
349,2025-03-29,GBP,23.6118
350,2025-03-29,EUR,20.8336
351,2025-03-29,AUD,11.6696
352,2025-03-30,USD,18.3159
353,2025-03-30,GBP,23.2636
354,2025-03-30,EUR,20.6471
355,2025-03-30,AUD,11.8594
356,2025-03-31,USD,18.1476
357,2025-03-31,GBP,23.4942
358,2025-03-31,EUR,20.6537
359,2025-03-31,AUD,11.8111
360,2025-04-01,USD,18.2449
361,2025-04-01,GBP,23.4645
362,2025-04-01,EUR,20.8554
363,2025-04-01,AUD,11.8771
364,2025-04-02,USD,18.0041
365,2025-04-02,GBP,23.2227
366,2025-04-02,EUR,21.2507
367,2025-04-02,AUD,11.7253
368,2025-04-03,USD,18.0581
369,2025-04-03,GBP,23.6074
370,2025-04-03,EUR,20.8545
371,2025-04-03,AUD,11.775
372,2025-04-04,USD,17.9027
373,2025-04-04,GBP,23.124
374,2025-04-04,EUR,20.9425
375,2025-04-04,AUD,11.7629
376,2025-04-05,USD,18.253
377,2025-04-05,GBP,23.5353
378,2025-04-05,EUR,20.9573
379,2025-04-05,AUD,11.9044
380,2025-04-06,USD,18.2658
381,2025-04-06,GBP,23.3963
382,2025-04-06,EUR,20.8399
383,2025-04-06,AUD,11.8046
384,2025-04-07,USD,18.1896
385,2025-04-07,GBP,23.3846
386,2025-04-07,EUR,20.9567
387,2025-04-07,AUD,11.8296
388,2025-04-08,USD,18.0378
389,2025-04-08,GBP,23.5265
390,2025-04-08,EUR,20.9617
391,2025-04-08,AUD,11.8041
392,2025-04-09,USD,18.3016
393,2025-04-09,GBP,23.2267
394,2025-04-09,EUR,20.788
395,2025-04-09,AUD,11.7244
396,2025-04-10,USD,18.2988
397,2025-04-10,GBP,23.4462
398,2025-04-10,EUR,20.8629
399,2025-04-10,AUD,11.8514
400,2025-04-11,USD,17.9997
401,2025-04-11,GBP,23.615
402,2025-04-11,EUR,21.0105
403,2025-04-11,AUD,11.7661
404,2025-04-12,USD,17.9617
405,2025-04-12,GBP,23.2289
406,2025-04-12,EUR,20.8555
407,2025-04-12,AUD,11.8199
408,2025-04-13,USD,18.3438
409,2025-04-13,GBP,23.5961
410,2025-04-13,EUR,20.6775
411,2025-04-13,AUD,11.8208
412,2025-04-14,USD,18.2143
413,2025-04-14,GBP,23.3045
414,2025-04-14,EUR,20.7689
415,2025-04-14,AUD,11.8625
416,2025-04-15,USD,18.2658
417,2025-04-15,GBP,23.5137
418,2025-04-15,EUR,21.1285
419,2025-04-15,AUD,11.6648
420,2025-04-16,USD,18.2352
421,2025-04-16,GBP,23.5568
422,2025-04-16,EUR,21.1266
423,2025-04-16,AUD,11.7172
424,2025-04-17,USD,18.163
425,2025-04-17,GBP,23.4809
426,2025-04-17,EUR,20.7524
427,2025-04-17,AUD,11.8532
428,2025-04-18,USD,18.2255
429,2025-04-18,GBP,23.7213
430,2025-04-18,EUR,20.9284
431,2025-04-18,AUD,11.8715
432,2025-04-19,USD,18.2324
433,2025-04-19,GBP,23.3046
434,2025-04-19,EUR,21.0141
435,2025-04-19,AUD,11.6512
436,2025-04-20,USD,18.4297
437,2025-04-20,GBP,23.3842
438,2025-04-20,EUR,20.8283
439,2025-04-20,AUD,11.9464
440,2025-04-21,USD,17.9067
441,2025-04-21,GBP,23.2419
442,2025-04-21,EUR,20.6203
443,2025-04-21,AUD,11.7489
444,2025-04-22,USD,18.4052
445,2025-04-22,GBP,23.3005
446,2025-04-22,EUR,20.9547
447,2025-04-22,AUD,11.8521
448,2025-04-23,USD,18.3229
449,2025-04-23,GBP,23.7656
450,2025-04-23,EUR,20.7055
451,2025-04-23,AUD,11.8235
452,2025-04-24,USD,18.1922
453,2025-04-24,GBP,23.3649
454,2025-04-24,EUR,20.7427
455,2025-04-24,AUD,11.9277
456,2025-04-25,USD,18.194
457,2025-04-25,GBP,23.1997
458,2025-04-25,EUR,20.9481
459,2025-04-25,AUD,11.8818
460,2025-04-26,USD,18.0787
461,2025-04-26,GBP,23.2357
462,2025-04-26,EUR,20.9243
463,2025-04-26,AUD,11.7827
464,2025-04-27,USD,18.3451
465,2025-04-27,GBP,23.319
466,2025-04-27,EUR,20.5757
467,2025-04-27,AUD,11.8246
468,2025-04-28,USD,18.402
469,2025-04-28,GBP,23.4403
470,2025-04-28,EUR,20.6777
471,2025-04-28,AUD,11.7835
472,2025-04-29,USD,18.1341
473,2025-04-29,GBP,23.6161
474,2025-04-29,EUR,20.8086
475,2025-04-29,AUD,11.7624
476,2025-04-30,USD,18.3544
477,2025-04-30,GBP,23.618
478,2025-04-30,EUR,21.0755
479,2025-04-30,AUD,11.8248
480,2025-05-01,USD,18.1171
481,2025-05-01,GBP,23.53
482,2025-05-01,EUR,20.8228
483,2025-05-01,AUD,11.9314
484,2025-05-02,USD,18.2318
485,2025-05-02,GBP,23.6155
486,2025-05-02,EUR,20.9771
487,2025-05-02,AUD,11.6985
488,2025-05-03,USD,18.1528
489,2025-05-03,GBP,23.3079
490,2025-05-03,EUR,20.7814
491,2025-05-03,AUD,11.7932
492,2025-05-04,USD,18.1681
493,2025-05-04,GBP,23.3034
494,2025-05-04,EUR,20.8281
495,2025-05-04,AUD,11.8116
496,2025-05-05,USD,18.3258
497,2025-05-05,GBP,23.564
498,2025-05-05,EUR,21.08
499,2025-05-05,AUD,11.8024
500,2025-05-06,USD,18.2134
501,2025-05-06,GBP,23.2711
502,2025-05-06,EUR,20.9789
503,2025-05-06,AUD,11.9662
504,2025-05-07,USD,18.2375
505,2025-05-07,GBP,23.024
506,2025-05-07,EUR,20.8265
507,2025-05-07,AUD,11.8101
508,2025-05-08,USD,18.3222
509,2025-05-08,GBP,23.5455
510,2025-05-08,EUR,21.1084
511,2025-05-08,AUD,11.9478
512,2025-05-09,USD,18.248
513,2025-05-09,GBP,23.6792
514,2025-05-09,EUR,20.8095
515,2025-05-09,AUD,11.7822
516,2025-05-10,USD,18.2181
517,2025-05-10,GBP,23.2765
518,2025-05-10,EUR,20.9894
519,2025-05-10,AUD,11.6916
520,2025-05-11,USD,18.3009
521,2025-05-11,GBP,23.5343
522,2025-05-11,EUR,20.3189
523,2025-05-11,AUD,11.7279
524,2025-05-12,USD,18.3763
525,2025-05-12,GBP,23.533
526,2025-05-12,EUR,20.9
527,2025-05-12,AUD,11.7682
528,2025-05-13,USD,18.1049
529,2025-05-13,GBP,23.7023
530,2025-05-13,EUR,20.989
531,2025-05-13,AUD,11.7639
532,2025-05-14,USD,17.9973
533,2025-05-14,GBP,23.286
534,2025-05-14,EUR,20.8281
535,2025-05-14,AUD,11.99
536,2025-05-15,USD,18.237
537,2025-05-15,GBP,23.4895
538,2025-05-15,EUR,20.7224
539,2025-05-15,AUD,11.7426
540,2025-05-16,USD,18.0626
541,2025-05-16,GBP,23.3167
542,2025-05-16,EUR,20.8482
543,2025-05-16,AUD,11.8727
544,2025-05-17,USD,18.1593
545,2025-05-17,GBP,23.4108
546,2025-05-17,EUR,21.002
547,2025-05-17,AUD,11.7919
548,2025-05-18,USD,18.2337
549,2025-05-18,GBP,23.4623
550,2025-05-18,EUR,20.7062
551,2025-05-18,AUD,11.9176
552,2025-05-19,USD,18.0713
553,2025-05-19,GBP,23.4424
554,2025-05-19,EUR,20.7775
555,2025-05-19,AUD,11.836
556,2025-05-20,USD,18.1875
557,2025-05-20,GBP,23.5287
558,2025-05-20,EUR,20.4983
559,2025-05-20,AUD,11.788
560,2025-05-21,USD,18.2676
561,2025-05-21,GBP,23.1605
562,2025-05-21,EUR,20.9766
563,2025-05-21,AUD,11.7356
564,2025-05-22,USD,18.1734
565,2025-05-22,GBP,23.2356
566,2025-05-22,EUR,21.1147
567,2025-05-22,AUD,11.9447
568,2025-05-23,USD,18.3999
569,2025-05-23,GBP,23.4371
570,2025-05-23,EUR,20.6773
571,2025-05-23,AUD,11.7209
572,2025-05-24,USD,18.3845
573,2025-05-24,GBP,23.4598
574,2025-05-24,EUR,20.863
575,2025-05-24,AUD,11.8174
576,2025-05-25,USD,18.3982
577,2025-05-25,GBP,23.3835
578,2025-05-25,EUR,21.1684
579,2025-05-25,AUD,11.7365
580,2025-05-26,USD,18.2814
581,2025-05-26,GBP,23.6107
582,2025-05-26,EUR,20.7482
583,2025-05-26,AUD,11.7694
584,2025-05-27,USD,18.2425
585,2025-05-27,GBP,23.4648
586,2025-05-27,EUR,21.0036
587,2025-05-27,AUD,11.7866
588,2025-05-28,USD,18.3036
589,2025-05-28,GBP,23.2779
590,2025-05-28,EUR,20.6738
591,2025-05-28,AUD,11.7581
592,2025-05-29,USD,17.7849
593,2025-05-29,GBP,23.2254
594,2025-05-29,EUR,20.7194
595,2025-05-29,AUD,11.8342
596,2025-05-30,USD,18.2513
597,2025-05-30,GBP,23.1157
598,2025-05-30,EUR,20.9083
599,2025-05-30,AUD,11.7637
600,2025-05-31,USD,18.1884
601,2025-05-31,GBP,23.4629
602,2025-05-31,EUR,20.9627
603,2025-05-31,AUD,11.7814
604,2025-06-01,USD,18.272
605,2025-06-01,GBP,23.32
606,2025-06-01,EUR,21.0828
607,2025-06-01,AUD,11.8651
608,2025-06-02,USD,18.1104
609,2025-06-02,GBP,23.3338
610,2025-06-02,EUR,20.8582
611,2025-06-02,AUD,11.7065
612,2025-06-03,USD,18.0677
613,2025-06-03,GBP,23.1849
614,2025-06-03,EUR,20.827
615,2025-06-03,AUD,11.8665
616,2025-06-04,USD,18.1134
617,2025-06-04,GBP,23.3996
618,2025-06-04,EUR,20.9868
619,2025-06-04,AUD,11.7829
620,2025-06-05,USD,18.2259
621,2025-06-05,GBP,23.3782
622,2025-06-05,EUR,21.2581
623,2025-06-05,AUD,11.8694
624,2025-06-06,USD,18.4198
625,2025-06-06,GBP,22.9634
626,2025-06-06,EUR,21.0049
627,2025-06-06,AUD,11.6805
628,2025-06-07,USD,18.3773
629,2025-06-07,GBP,23.4024
630,2025-06-07,EUR,21.0746
631,2025-06-07,AUD,11.7602
632,2025-06-08,USD,18.157
633,2025-06-08,GBP,23.2819
634,2025-06-08,EUR,20.7831
635,2025-06-08,AUD,11.7621
636,2025-06-09,USD,17.7933
637,2025-06-09,GBP,23.3476
638,2025-06-09,EUR,20.7469
639,2025-06-09,AUD,11.7038
640,2025-06-10,USD,18.1784
641,2025-06-10,GBP,23.302
642,2025-06-10,EUR,20.9282
643,2025-06-10,AUD,11.7296
644,2025-06-11,USD,18.2174
645,2025-06-11,GBP,23.5011
646,2025-06-11,EUR,21.1503
647,2025-06-11,AUD,11.7878
648,2025-06-12,USD,18.2925
649,2025-06-12,GBP,23.9023
650,2025-06-12,EUR,20.9044
651,2025-06-12,AUD,11.8877
652,2025-06-13,USD,18.465
653,2025-06-13,GBP,23.2365
654,2025-06-13,EUR,20.7098
655,2025-06-13,AUD,11.7291
656,2025-06-14,USD,18.1952
657,2025-06-14,GBP,23.5442
658,2025-06-14,EUR,20.7682
659,2025-06-14,AUD,11.7423
660,2025-06-15,USD,18.3427
661,2025-06-15,GBP,23.2422
662,2025-06-15,EUR,20.5403
663,2025-06-15,AUD,11.612
664,2025-06-16,USD,18.1665
665,2025-06-16,GBP,23.2294
666,2025-06-16,EUR,21.1258
667,2025-06-16,AUD,11.7811
668,2025-06-17,USD,17.9254
669,2025-06-17,GBP,23.3872
670,2025-06-17,EUR,20.8608
671,2025-06-17,AUD,11.7694
672,2025-06-18,USD,18.3497
673,2025-06-18,GBP,23.6859
674,2025-06-18,EUR,20.9185
675,2025-06-18,AUD,11.7401
676,2025-06-19,USD,18.2218
677,2025-06-19,GBP,23.1987
678,2025-06-19,EUR,20.8922
679,2025-06-19,AUD,11.6595
680,2025-06-20,USD,18.2393
681,2025-06-20,GBP,23.3179
682,2025-06-20,EUR,21.0183
683,2025-06-20,AUD,11.9067
684,2025-06-21,USD,18.2967
685,2025-06-21,GBP,23.387
686,2025-06-21,EUR,21.1504
687,2025-06-21,AUD,11.784
688,2025-06-22,USD,18.2162
689,2025-06-22,GBP,23.582
690,2025-06-22,EUR,20.5935
691,2025-06-22,AUD,11.7896
692,2025-06-23,USD,18.2977
693,2025-06-23,GBP,23.063
694,2025-06-23,EUR,21.0433
695,2025-06-23,AUD,12.0117
696,2025-06-24,USD,18.187
697,2025-06-24,GBP,23.1721
698,2025-06-24,EUR,21.044
699,2025-06-24,AUD,11.6762
700,2025-06-25,USD,18.106
701,2025-06-25,GBP,23.1524
702,2025-06-25,EUR,20.7273
703,2025-06-25,AUD,11.7531
704,2025-06-26,USD,18.1247
705,2025-06-26,GBP,23.5759
706,2025-06-26,EUR,21.0579
707,2025-06-26,AUD,11.7758
708,2025-06-27,USD,18.2897
709,2025-06-27,GBP,23.7845
710,2025-06-27,EUR,20.8588
711,2025-06-27,AUD,11.7791
712,2025-06-28,USD,18.0447
713,2025-06-28,GBP,23.6476
714,2025-06-28,EUR,20.8613
715,2025-06-28,AUD,11.7929
716,2025-06-29,USD,17.9454
717,2025-06-29,GBP,23.7142
718,2025-06-29,EUR,20.8144
719,2025-06-29,AUD,11.7607
720,2025-06-30,USD,18.0994
721,2025-06-30,GBP,23.6852
722,2025-06-30,EUR,20.7712
723,2025-06-30,AUD,11.6187
724,2025-07-01,USD,18.1679
725,2025-07-01,GBP,23.3734
726,2025-07-01,EUR,20.8591
727,2025-07-01,AUD,11.8705
728,2025-07-02,USD,18.3062
729,2025-07-02,GBP,23.0734
730,2025-07-02,EUR,20.9901
731,2025-07-02,AUD,11.8429
732,2025-07-03,USD,17.9712
733,2025-07-03,GBP,23.6993
734,2025-07-03,EUR,21.3384
735,2025-07-03,AUD,11.8621
736,2025-07-04,USD,18.1534
737,2025-07-04,GBP,23.5357
738,2025-07-04,EUR,20.836
739,2025-07-04,AUD,11.8994
740,2025-07-05,USD,18.1172
741,2025-07-05,GBP,23.237
742,2025-07-05,EUR,20.7678
743,2025-07-05,AUD,11.8929
744,2025-07-06,USD,18.432
745,2025-07-06,GBP,23.3607
746,2025-07-06,EUR,20.9289
747,2025-07-06,AUD,11.6688
748,2025-07-07,USD,18.0743
749,2025-07-07,GBP,23.268
750,2025-07-07,EUR,20.4773
751,2025-07-07,AUD,11.8599
752,2025-07-08,USD,18.1911
753,2025-07-08,GBP,23.4169
754,2025-07-08,EUR,21.0733
755,2025-07-08,AUD,11.6143
756,2025-07-09,USD,18.5464
757,2025-07-09,GBP,23.2017
758,2025-07-09,EUR,20.7272
759,2025-07-09,AUD,11.8583
760,2025-07-10,USD,18.2438
761,2025-07-10,GBP,23.3119
762,2025-07-10,EUR,20.7653
763,2025-07-10,AUD,11.8046
764,2025-07-11,USD,18.4381
765,2025-07-11,GBP,23.5199
766,2025-07-11,EUR,20.795
767,2025-07-11,AUD,11.9011
768,2025-07-12,USD,18.2033
769,2025-07-12,GBP,23.3986
770,2025-07-12,EUR,20.9357
771,2025-07-12,AUD,11.74
772,2025-07-13,USD,18.1802
773,2025-07-13,GBP,23.4278
774,2025-07-13,EUR,21.05
775,2025-07-13,AUD,11.7666
776,2025-07-14,USD,18.2338
777,2025-07-14,GBP,23.3335
778,2025-07-14,EUR,21.1135
779,2025-07-14,AUD,11.6938
780,2025-07-15,USD,17.9464
781,2025-07-15,GBP,23.4481
782,2025-07-15,EUR,20.9579
783,2025-07-15,AUD,11.8978
784,2025-07-16,USD,18.3784
785,2025-07-16,GBP,23.6953
786,2025-07-16,EUR,20.8443
787,2025-07-16,AUD,11.8347
788,2025-07-17,USD,18.2322
789,2025-07-17,GBP,23.7877
790,2025-07-17,EUR,20.9573
